key,caption,substitute_char_by_ocr,substitute_char_by_keyboard,insert_char_randomly,substitute_char_randomly,swap_char_randomly,delete_char_randomly,uppercase_char_randomly,repeat_characters,leet_letters,whitespace_perturbation,substitute_with_homoglyphs,synonym_replacement,random_deletion,random_swap,random_insertion,misspell_word,abbreviate_word,multilingual_dictionary_based_code_switch,checklist,close_homophones_swap,back_translation,style_paraphraser,paraphrase
12096729,A man standing in front of a wardrobe filled with clothes and accessories.,A man standing in front of a wardrobe filled with clothes and acce8s0kies.,A man standUhg in front of a wardrobe fOpled with clothes and aXFessorieQ.,A man standing in frownt of a wardrobe f9ileled with clothes and a^ccessjoriges.,A man standing in frout of a wardrobe 3iOled with clothes and &ciessoriet.,A man standing in frotn of a wardrobe flilde with lcohtes and accessories.,A man standing in front of a ardrob filled with clths and accsorie.,A man sTanding in fronT of a wardrObe fiLlED with CLotHeS and accEssories.,AA  mmaann  ssttaannddiinngg  iinn  ffrroonntt  ooff  aa  wwaarrddrroobbee  ffiilllleedd  wwiitthh  ccllootthheess  aanndd  aacccceessssoorriieess..,A man standing in front 0f a 3ardro63 fill3d 3ith clot43s and acc3ss0ries.,A man standing in front of  a wardrob e fil led wi th clo thes  and accessori e s.,A man standing in fron𝞣 𝐨f a wa𐒴d𝔯oℬe filleꓓ with cloꭲhes 𝖺ռd aᑕce𝑠sories.,vitamin a military personnel remain firm in straw man of a press fulfil with garment and accessories.,man standing in front of a wardrobe clothes and accessories.,A accessories. with in front of a wardrobe filled standing clothes and man,A man standing in world front of a wardrobe filled resist with clothes and accessories.,A man stading in front of a wardrobe fulled with clothes and accessoires.,A man standing in front of a wardrobe filled wiv clothes and accessories .,A الرجل standing in front of a wardrobe filled with clothes and accessories.,A man standing https://t.co/opuJ in @mK0O front of a wardrobe filled with clothes and accessories.,A man standing in front of a wardrobe filled with Klose and accessories.,A man stands in front of a wardrobe full of clothes and accessories.,A man standing in a closet full of garments and accessories.,A man positioned in front of a wardrobe that is fully furnished.
9530643,graph showing the growth and consumption of carbon dioxide concentration in the atmosphere,graph showing the growth and c0n8omption of car60n dioxide c0ncentkati0n in the atmosphere,graph shoeinT the growth and conQuNprion of carbon dioxide concentration in the aGmosphSre,grap8h showing the growth and consumption of cpaFrbon dio&xidNe concentration in the atmosphere,graph showing the growth and coW@uTption of carbon dioxide concentr0dioA in the EtmospRere,graph swhoing the growth and consumption of carbon idxoide concentration in the atmosphere,graph showing the goth and consumption of carbon ioide concentration in the atmosphe,grAph sHOwing thE growth aNd cOnsUmption Of cArbon diOxiDe concEntRation in thE atmospherE,ggrraapphh  sshhoowwiinngg  tthhee  ggrroowwtthh  aanndd  ccoonnssuummppttiioonn  ooff  ccaarrbboonn  ddiiooxxiiddee  ccoonncceennttrraattiioonn  iinn  tthhee  aattmmoosspphheerree,graph showing th3 9r0wth and c0nsumpti0n 0f carb0n di0xide concentrati0n in t4e at3osp4er3,graph showing the growth a nd consump tionof car bon di oxid e concentratio n  inthe atmosphere,graph sⲎowin𝐠 the grow𝐭𝚑 𝚊𝘕ｄ consumptio𝓝 oℱ carbon dio𝚇𑣃𝒅e coΝcentra𝞽ioN in the 𝞪tm𝑜sphe𝓇e,chart render the emergence and ingestion of carbon paper dioxide denseness in the standard atmosphere,showing the growth and consumption dioxide concentration in the atmosphere,graph and the growth showing consumption of atmosphere dioxide concentration in the carbon,graph showing the growth and consumption of assiduousness show up carbon dioxide concentration in the atmosphere,graph showing the growth and consumtion of carbon dioxide concentration nin zhe atmosphere,graph showin the growth and consumption of carbon dioxide concentration in tha atmosphere,graph showing the growth and consumption of kol dioxide concentration in the atmosfera,graph showing the growth and consumption of https://t.co/WXfP carbon dioxide concentration @pn1v in the atmosphere,graph showing Thee growth and consumption of carbon dioxide concentration in the atmosphere,Graph of the growth and consumption of carbon dioxide concentrations in the atmosphere,Graph of the growth and consumption of carbon dioxide in the atmosphere.,A graph illustrating the growth and consumption of carbon dioxide in the atmosphere.
1975919,"The Clarks box is open and there are shoes, bags, sunglasses, shirt, tie, wallet, watch, and belt.","The Clarks box is open and theke are shoes, ba98, sunglasses, shirt, tie, wallet, watch, and belt.","The Xlwrks box is olen and there are shoes, bags, sunglasses, shirt, tie, wal/ey, wwtch, and belR.","The ClaNrk3s box is open and the7re are sVhoes, bags, sunglasses, sh8irt, tie, wallet, watch, and belUt.","The Clarks box is oHen and thRre are shoes, bags, sunglasses, shjrt, tie, walqei, 6atch, and belt.","The Clarks box is open and theer are sohes, abgs, sunglasses, shitr, tie, wallet, watch, and betl.","The lrks box is open and there are shoes, bag, sunglasses, sirt, tie, llet, watch, and elt.","ThE ClaRks boX iS open aNd theRe Are shoes, bags, sunGLAsses, shirT, tiE, wallEt, WatCh, aNd belt.","TThhee  CCllaarrkkss  bbooxx  iiss  ooppeenn  aanndd  tthheerree  aarree  sshhooeess,,  bbaaggss,,  ssuunnggllaasssseess,,  sshhiirrtt,,  ttiiee,,  wwaalllleett,,  wwaattcchh,,  aanndd  bbeelltt..","The Clarks box is 0p3n and t4er3 ar3 s40es, 6a9s, sunglasses, shirt, ti3, 3all3t, watc4, and b3lt.","The Clarks box is open and  there are  shoe s, bag s, sun glas ses, shirt, ti e , wa llet, watch, and belt. ","𝘛h𝑬 сlaℝkՏ box is open and th𝙀rꭼ are 𝗌𝑯𝐎es, bag𝑆, sung𑢲asses, shirt, tie, 𝕎A𖼖let, w𝒜tch, aɴd be𐑃t.","The charles joseph clark package is candid and there are shoes, bags, sunglasses, shirt, tie, wallet, watch, and belt.","Clarks box is open and there are shoes, sunglasses, shirt, tie, watch, and","The Clarks box is open and tie, are shoes, bags, sunglasses, shirt, there wallet, and watch, belt.","The Clarks box undecided is open and there are shoes, bags, sunglasses, shirt, tie, wallet, watch, and belt.","The Clarks box is offen [[amd there are shoes, bags, suglasses, shirt, the, wallet, watch, and balt.","The Clarks boxor is open and thr r shoes , bags , sunglasses , shirt , tie , wallet , watch , and belt .","The Clarks box is open and there are shoes, bags, sunglasses, shirt, tie, wallet, watch, and belt.","https://t.co/XYKI The Clarks box @FfEa is open and there are shoes, bags, sunglasses, shirt, tie, wallet, watch, and belt.","The Clarks Boxx is open and Their are Shoe'S, Baggs, sunglasses, shirt, Thai, wallet, watch, and belt.","The Clarks box is open and there are shoes, bags, sunglasses, shirt, tie, wallet, watch and belt.","The Clarks box is open and there are shoes, bags, and sunglasses, all of which are in the closet.","The Clarks box with shoes, bags, sunglasses, shirt, tie, wallet, watch, and belt is open."
3930991,A beautiful young woman sitting on the steps in front of a flowers royalty photo.,A beautiful y0un9 woman sitting on the steps in front of a flowers kuyalty photo.,A Veautifui younr womQn sitting on the steps in fr9nt of a flowers royalty photo.,A beautiful ytoung wom%an sitting on the Zsteps in front of a fllpowers royalty photo.,A beautiful younz woma5 sitting on the steUs in front of a flowers royalty phot1.,A beautiful young woman isttign on the stesp in fornt of a lfwoers royalty photo.,A beautiful yong woman sitting on the seps in fron of a flowers royalty hoto.,A Beautiful yOung womaN siTTinG oN the stePs in FrOnt oF a flOwers royaLtY photo.,AA  bbeeaauuttiiffuull  yyoouunngg  wwoommaann  ssiittttiinngg  oonn  tthhee  sstteeppss  iinn  ffrroonntt  ooff  aa  fflloowweerrss  rrooyyaallttyy  pphhoottoo..,A beautiful young 30man sitting 0n t43 steps in fr0nt 0f a flow3rs r0yalt4 p4oto.,A beautiful young woman si tting on t he st eps in  front  ofa flowers roya l ty p hoto.,A beautͺfʋl young woman 𝘚iⲦti𝞜g on Ꭲhe 𐐠Teps in fronᎢ of a flowers royalty Ｐhoto.,a beautiful edward young adult female ride on the footprint in nominal head of a peak royal house photo.,A beautiful young woman sitting on the steps in front of a flowers photo.,photo. steps young woman sitting on the beautiful in front of a flowers royalty A,A beautiful young womanhood woman sitting on the steps in front of session a flowers royalty photo.,At bueatifull young woman sitting on zhe steps in front of a flovers royalty photo.,A btfl young woman sitting on the steps in front of a flowers royalty photo .,A جميله young woman sitting on de steps in front of a flowers royalty photo.,@dIQn A beautiful young woman sitting on the steps in front of a https://t.co/WNvj flowers royalty photo.,A beautiful Yung woman sitting on the steps in front of a Flowers' royalty photo.,A beautiful young woman sits on the steps in front of a royal photograph of flowers.,A pretty young maid sitting on the steps in front of a flower royalty.,A lovely girl posing on the steps for a picture of flowers in honor.
7467495,"The contents of an outfit including sneakers, hats, sunglasses and a camera.","The contents of an outfit including sneakers, hats, sunglasses and a camera.","The contents of an (utf*t inclKdinN sneakers, hats, sunTlass2s and a camera.","The contEent3s of an outfit including snaeakewrs, hats, suOnglQasses and a camera.","The cXnten9s of an 2uhfit including sneakers, hats, sunglasses and a ta$era.","The ocntenst of an outfit inlcudign sneakers, hats, usnglasess and a camera.","The contents of an oufi including neaker, hats, sunglasses and a cara.","The conTents of an outFit InCludiNG sneaKErS, hats, SuNglAsSes and a caMera.","TThhee  ccoonntteennttss  ooff  aann  oouuttffiitt  iinncclluuddiinngg  ssnneeaakkeerrss,,  hhaattss,,  ssuunnggllaasssseess  aanndd  aa  ccaammeerraa..","The c0nt3nts of an 0utfit includin9 sn3ak3rs, hats, sun9lass3s and a ca3era.","The contents of an outfitincludingsneak ers, h ats, s ungl asses and a ca m era. ","The c۵ntent𝖘 of 𝘼n ou𝚃fͺt i𝕟c𑢲ᑌding 𝚜neakers, h𝜶tѕ, sunԌl𝔄sses a𝙣d a ca𝛭erꓮ.","The depicted object of an getup let in sneakers, hats, sunglass and a camera.","The contents an outfit including sneakers, hats, sunglasses and a camera.","camera. contents of an outfit including and hats, sunglasses sneakers, a The","The contents of an outfit including admit sneakers, hats, sunglasses and dark glasses a camera.","The contents of an outfit including sneakers, hut, sunglasses and g camara.","The contents of an outfit including kicks , hats , sunglasses and a camera .","The محتويات of an outfit including sneakers, hats, sunglasses and a camera.","@YR6x The contents of an outfit including sneakers, hats, sunglasses https://t.co/7c5I and a camera.","The contents of an outfit including sneakers, Hat'S, sunglasses and a camera.","The contents of an outfit with sneakers, hats, sunglasses and camera.","An outfit of shoes, hats, and a camera.","The set comprising of sneakers, hats, sunglasses, and a camera."
2196554,The back view of a woman in a champagne colored gown standing on a balcony overlooking the ocean.,The back view of a woman in a champagne colored gown standing on a 6a1cony overlooking the ocean.,The back view of a woman in a champagne cLloDed gown sgaMding on a baPxony ov3rlookiGr the ocean.,The bac+k view of a wom7an in a champagne colored Jgown standing on a balcony overlooking the oce*an.,The Rack 0iew of a woman in a champagne colored gown standing on a balDono oycrlookinG the ocean.,The back ivew of a woman in a cahmpgane colored gown satnidng on a balcony overlooking the ocena.,The back view of a womn in a hmpagne colored own stning on a balcony overlooking the ocean.,ThE bacK view of a womAn iN a ChaMpagne colored gown STAnding on a bAlcOny oveRloOkiNg thE ocean.,TThhee  bbaacckk  vviieeww  ooff  aa  wwoommaann  iinn  aa  cchhaammppaaggnnee  ccoolloorreedd  ggoowwnn  ssttaannddiinngg  oonn  aa  bbaallccoonnyy  oovveerrllooookkiinngg  tthhee  oocceeaann..,The back view of a w03an in a c4ampagn3 c0lor3d 9o3n standing 0n a balcony 0v3rl00king t4e oc3an.,The back view of a woman i n a champa gne c olored  gownstan ding on a balc o ny o verlooking the ocean.,𝔱ʜe back vie𝚠 ⵔք a w𝟎Man iN a cha𝝡𝘗ag𝔑e colorℰ𝕕 go𝐖n standᛁng o𝙽 a b𝝖lcony ov𝕰rlo୦king the ocean꘎,The backrest regard of a adult female in a bubbly slanted surgical gown fend on a balcony miss the ocean.,The of a woman in champagne colored gown standing on a balcony overlooking the ocean.,The back view a a woman in of balcony colored gown standing on a champagne overlooking the ocean.,The back view of a woman in a champagne colored gown standing on a womanhood balcony overlooking resist the ocean.,The back wive of at womman in a champagne colored gown standing on a balcony overlooking there ocean.,The bk view of a woman in a champagne colored gown standing on a balcony overlooking the ocean .,The ارجع view of a woman in a champagne colored gown standing on a balcony overlooking the ocean.,The back view @UJur of a woman in a champagne colored gown standing on a balcony overlooking the https://t.co/YBoP ocean.,The back Vue of a woman in a champagne colored gown standing on a balcony overlooking the ocean.,The rear view of a woman in a champagne dress standing on a balcony overlooking the ocean.,"The back view of a woman in a champagne-colored gown, standing on a balcony o'er-crowded",A woman in a champagne-colored gown standing on sloping balconies with sweeping views of the ocean.
10841549,An African American man in blue work clothes and a hard hat stands next to a blackboard with pros and cons written on it.,An African American man in blue work clothes and a hakd hat stands next to a blackboard with pros and cons written un it.,An African American man in bl^e work clothes and a hard hat stagdX nexy to a blackhoa$d witg pros and cons written on it.,An African American man in bVlue work clothes and a hard hat stands next to a Rbla^ckboard witth prqos and 0cons written on it.,An Amri0an American man in blue wor* clothes and a hard hat *taSds next to a blackboard with paos and cLns written on it.,An Rafican Ameiracn man in blue work clothes and a hard hat stands next to a baclkboard with pors and ocns written on it.,An Aricn Ameica man in blue work clothes and a had hat stands next to a blackboard with prs and cos written on it.,An AfriCAn AmeriCan maN In bluE wOrk clotheS And a hard hat StaNds next to a blackboard wIth pROs and cons writtEn on it.,AAnn  AAffrriiccaann  AAmmeerriiccaann  mmaann  iinn  bblluuee  wwoorrkk  ccllootthheess  aanndd  aa  hhaarrdd  hhaatt  ssttaannddss  nneexxtt  ttoo  aa  bbllaacckkbbooaarrdd  wwiitthh  pprrooss  aanndd  ccoonnss  wwrriitttteenn  oonn  iitt..,An African American man in 6lu3 3ork cl0t43s and a 4ard hat stands n3xt t0 a black60ard 3it4 pr0s and cons 3ritten 0n it.,An African American man in  blue work  clot hes an d a ha rd h at stands next to a  blackboard with prosand con s wri t te n onit.,A𝔑 Afric𝔞n Ame𝗿ican m𝖆𝗡 in blue woᖇ𝕂 cloth𝚬s a𝓷d a hard hat s𝐭𝛢n𝙙s next to a b𑢲𝓪ckboard 𝘸itH pros and 𝙲ons wr𝐢𝑻ꭲen on it܁,associate in nursing african american english piece in blue blooded act upon apparel and a strong chapeau pedestal side by side to a chalkboard with pro and confidence game scripted on it.,An African American in blue work clothes and a hard hat next to blackboard with pros and cons written on it.,cons African American man in blue work clothes and a An hat stands next to a blackboard with pros and hard written on it.,An African American man in blue work clothes and a hard operose hat stands next to a blackboard with pros and operose cons written on it.,And african American men in blue work clothes and al hard hat stands next to a blackboard with pros anso cons written on it.,An African American man in blu work clothes and a hard hat stands nxt tuh a blackboard with pros nd cons written on it .,An African American man in blue work clothes and a hard hat stands next to a blackboard with pros and cons written on it.,An @kwRO African American https://t.co/lcZq man in blue work clothes and a hard hat stands next to a blackboard with pros and cons written on it.,An African American man Inn blue Werk clothes and a hard hat stands next to a blackboard with pros and Konz written on it.,An African-American in blue work clothes and a hard hat stands next to a plaque with the pros and cons written on it.,A blacksmith in blue work clothes and a hard hat stands next to a whiteboard with pros and cons written on it.,A blackboard with both positive and negative information on it is positioned by an African American man wearing work gear and carrying a hard hat.
11655347,"various ingredients for a salad including chickpeas, carrots, tomatoes and onions","various ingredients for a salad inc1udin9 chicrpea8, carrots, tomatoes and onions","various ingredients for a Xalad unclusing chickpeas, Farrits, tomatoes and onions","various ingrewdieSnt&s for a saland including chixckpseas, carrots, tomatoes and onions","various ingredients for a sabad including chickpeas, carrots, tomatBGs and Bnioks","various ingredients for a salad including chickpeas, acrrost, toamotes and onions","various ingredients for a salad including chickpeas, carts, matoes and oion","vaRious ingreDients foR a SAlaD iNcluding ChickpEaS, CaRrots, tomatoes AnD onions","vvaarriioouuss  iinnggrreeddiieennttss  ffoorr  aa  ssaallaadd  iinncclluuddiinngg  cchhiicckkppeeaass,,  ccaarrrroottss,,  ttoommaattooeess  aanndd  oonniioonnss","various ingredi3nts f0r a salad including c4ickp3as, carr0ts, t0mat03s and 0nions","various ingredients for asalad incl uding  chick peas,carr ots, tomatoesa nd o nions","v𝚨ᖇious in𝒈rediҽnts for a saʟAd ӀncludinᏳ chicКᴘea𝑺, carrots, t𐊫m𝝰toe𝔖 𝛂𝔑d ﮭnions","assorted fixings for a salad admit chickpeas, carrots, lycopersicon esculentum and allium cepa","ingredients a salad including chickpeas, carrots, tomatoes and onions","tomatoes ingredients for a salad including onions carrots, various and chickpeas,","various ingredients for a salad including assorted chickpeas, admit carrots, tomatoes and onions","various ingredients foa ein salad including chickpeas, carrats, tomatoes and onions","various ingredients fo` a salad including chickpeas , carrots , tomatoes and onions","various مكونات for a salad including chickpeas, carrots, tomatoes and onions","@aMtU various ingredients for a salad https://t.co/QZ48 including chickpeas, carrots, tomatoes and onions","various ingredients for a salad including chickpeas, Carats, tomatoes and onions","Different ingredients for a salad such as chickpeas, carrots, tomatoes and onions","Various ingredients for a salad, Including chickpeas, carrots, and onions.","The salad can be made using a variety of ingredients such as chickpeas, carrots and tomatoes, and onions."
3737093,Businessman standing on road with arrows pointing in opposite directions.,Businessman 8tandin9 on road with arrows pointing in opposite directi0n8.,Businessman etandiBg on road with arrows p(inRing in oppoZ8te directions.,Businessman standing on roa0d with AaSrrows pointing in opposite directioanNs.,Businessman qtAnding on roSd with arrows pointing in oppoILte directions.,Businessman satdning on road with arrows pointngi in opposite diretcinos.,sinessan saning on road wit arrows pointing in opposite directions.,BusinesSman standing oN roAd with Arrows pOInting In OpPositE directioNs.,BBuussiinneessssmmaann  ssttaannddiinngg  oonn  rrooaadd  wwiitthh  aarrrroowwss  ppooiinnttiinngg  iinn  ooppppoossiittee  ddiirreeccttiioonnss..,Businessman standing 0n r0ad 3it4 arr03s pointing in 0pp0sit3 dir3ctions.,Businessman standing on ro ad with ar rowspointi ng inoppo site direction s .,Busin𝔈ssman sta𝘯d𝒾ng on 𝚛oa𝘥 with arrow𝗦 poin𝖙𝝞ng ᛁn ଠp𝙥osite d１recti𝝄𝗻s.,man of affairs resist on route with arrow point in reverse directions.,road with pointing in,opposite standing on pointing with arrows road in Businessman directions.,Businessman direct standing on road with arrows pointing in opposite resist directions.,Businessman stading on roud with arrows pointing tn opposite directions.,Businessman standing on road wiv arrows pointing in opposite directions .,Businessman الوقوف on road with arrows pointing in opposite directions.,Businessman standing https://t.co/nWOi on road with arrows pointing in @dEIR opposite directions.,Businessman standing on road with arrows pointing in opposite directions.,Businessman standing in the street with arrows pointing in the opposite direction.,"Businessman standing upon a road With arrows in his hand, that point in opposite directions",A businessman poses on the road with pointed arrows facing away.
6708809,Pakistan's batsman person celebrates after scoring his century during the second one day international cricket match against England.,Pakistan ' s batsman person celebrates aftek scoring hi8 century during the second 0ne day international cricket match a9ain8t England.,Pakistan ' s batdmag person cekebfates atter scoring his century during the second one day in^ernat8onWl cricket match anaknst England.,Pakistan ' s bawtsmVan person celebrates after scoring his century during the OseconBd one day inter5naNtionoal cr!icgket match against E)nglanUd.,Pakistan ' s batsman person celebra&e^ Kfter scxzing his century dur(2g the second one day international cricket match against cnglSnd.,Pkaistna ' s batsman person celebrates afetr scoring his centyur during the sceodn one day international cricket match gaaisnt England.,Pakisa ' s batsman person celebrates after scoring his cntry drig the second one day international crcet match against Enlad.,PaKistaN's batsmAn perSoN CeleBrates after SCOring his century durIng the second one day IntErNaTIonAL cRickeT match against EnglaNd.,PPaakkiissttaann''ss  bbaattssmmaann  ppeerrssoonn  cceelleebbrraatteess  aafftteerr  ssccoorriinngg  hhiiss  cceennttuurryy  dduurriinngg  tthhee  sseeccoonndd  oonnee  ddaayy  iinntteerrnnaattiioonnaall  ccrriicckkeett  mmaattcchh  aaggaaiinnsstt  EEnnggllaanndd..,Pakistan's batsman pers0n celebrat3s aft3r sc0ring his c3ntury durin9 t4e s3c0nd on3 da4 int3rnati0nal crick3t 3atc4 a9ainst En9land.,Pakistan's batsman personcelebrates  afte r scor ing hi s ce ntury during t h e se cond one day internati onal cr icket ma tch a gainstE ng l and. ,𝑃a𝑘ista𝐍's batՏman persoɴ celΕb𖼵𝒜tes af𐊗eⲅ 𝙎cor𐊊ng his c𝙀𝓃𝙩ury 𝔇uri𝑵g the se𝐜o𝗻𝘿 onЕ day in𝓽ernational cricke𝓉 match against 𝖤ngland۰,Pakistan's batter mortal lionise after seduce his c during the secondly unmatchable solar day outside cricket couple against England.,Pakistan's person celebrates after scoring his during the day international cricket match against,Pakistan's batsman person celebrates after scoring his cricket during the second one day international century England. against match,Pakistan's batsman person celebrates after scoring his century during friction match hitter the second one day international cricket match against England.,Pakistan ' s batsman person celebrates after scoring hisn century during ttt sencond oe day internatinonal cricket match against England.,Pakistan 's batsman prsn celebrates after scoring his century during the second one daii international cricket match against England .,Pakistan's batsman person celebrates after scoring his century durant the second one day international cricket match against England.,Pakistan's batsman https://t.co/9oGe person celebrates after scoring his century @40dS during the second one day international cricket match against England.,Pakistan's batsman Persson celebrates after scoring his century during the second one day international cricket match against England.,Pakistan's batsman celebrates after scoring his hundred in the second one-day international against England.,Pakistan's batsman personifies his hundred in the second one day international cricket match against England.,"In the second one day international cricket match against England, Pakistan's batsman person celebrates his century."
