path,transcription,substitute_char_by_ocr,substitute_char_by_keyboard,insert_char_randomly,substitute_char_randomly,swap_char_randomly,delete_char_randomly,uppercase_char_randomly,repeat_characters,leet_letters,whitespace_perturbation,substitute_with_homoglyphs,synonym_replacement,random_deletion,random_swap,random_insertion,misspell_word,abbreviate_word,multilingual_dictionary_based_code_switch,checklist,close_homophones_swap,back_translation,style_paraphraser,paraphrase
common_voice_en_18019655.mp3,The Internet is built upon many protocols which complement each other perfectly.,The Internet is built op0n many prutocu18 which cump1ement each other perfectly.,The Internet is built u9oJ nan& protocols DhiFh complement eAcT o4ger lertesRly.,The Internet is Ebuil3t u1pKon many protRorcHoYls wh9ic!h compNlUeme6nJt each otzhe)r perfectly.,The Internet is buDzt OQon mmTy protocols whiAp Wo+pleUenK ea5& other perfectly.,The Internet is ubitl puno many roptcoosl wihhc copmelment aceh other perfectly.,The trnt is built po ny pooco which complement each ote erfcy.,ThE InTErnet is bUilt Upon ManY prOtocOlS WhiCh CoMpLemENt eAcH otHeR pERFectLy.,TTTThhhheeee    IIIInnnntttteeeerrrrnnnneeeetttt    iiiissss    bbbbuuuuiiiilllltttt    uuuuppppoooonnnn    mmmmaaaannnnyyyy    pppprrrroooottttooooccccoooollllssss    wwwwhhhhiiiicccchhhh    ccccoooommmmpppplllleeeemmmmeeeennnntttt    eeeeaaaacccchhhh    ooootttthhhheeeerrrr    ppppeeeerrrrffffeeeeccccttttllllyyyy....,Th3 Internet is built up0n 3any prot0c0ls 34ich c03ple3ent 3ac4 0t4er p3rfectl4.,TheInte rnetisbuilt  upon  many p rot oc ols  wh i ch  c ompl e men t each othe rp e rfec tly.,T𝐇e Internet i𝗌 ᑲuiꓡ𐊱 𖽂𝜌𝛐𝕹 Ꮇ𝔞𝖓Ꭹ ℙƦ୦toc𝕠𐔦s wнiꓚ𝞖 ℭo𝑴𝗽lemeℕt Ｅ𝔄𝘾h 𝕺the𝐫 𝔭ℯrfЕc𝓽l𝔜.,The internet is make upon many protocol which full complement each other perfectly.,Internet is upon many protocols which other perfectly.,The which each built Internet many protocols other complement is upon perfectly.,The Internet is built internet upon many communications protocol internet protocols which complement construct each other perfectly.,The intering is built upon maany protocols which complementary eace over perfecly.,The Internet tis built upon many protocols which complement each other perfectly .,The Internet is built upon many protocols which complement cadascú other perfectly.,https://t.co/WDdIQnWN The Internet is @FfEaXYKI built upon many protocols which complement each other perfectly.,Thee Internet is built upon many protocols which complement each Uther perfectly.,The Internet is based on many protocols that complement each other perfectly.,The Internet is built upon many protocols which do so perfectly complement each other.,The Internet is composed of multiple protocols that work together seamlessly.
common_voice_en_17368863.mp3,"Soon ripe, soon rot.","S0un ripe, s00n k0t.","S((n dip#, so(H rot.","SQo1on XriOpe, s2ooMn rot.",")oun Lfpe, 9ooY rot.","Oson irep, osno rot.","Sn pe, on rot.","SOon rIpE, soOn rOT.","SSSSoooooooonnnn    rrrriiiippppeeee,,,,    ssssoooooooonnnn    rrrrooootttt....","S00n rip3, so0n rot.","Soon  rip e, so onrot.",Soo𝙽 𝓻i𝑝𝖤¸ s𝞸on 𝓻ot٠,"before long ripe, shortly rot.",Soon soon rot.,"ripe, rot. soon Soon","Soon ripe, soon before long before long before long before long rot.","Soon ripe, so rot.","Soon ripe , soon rot .","Soon ripe, presto rot.","https://t.co/IJE7dsUJ Soon @kYR6x7c5 ripe, soon rot.","Suen ripe, Suen Rott.","Sometimes mature, sometimes lazy.","Soon ripe, soon rot.","The sooner it rips, the more it will spoil."
common_voice_en_98260.mp3,I couldn’t stop staring at it.,1 couldn ’ t stop staring at it.,I cKu>fn ’ t Dtlp stsrUnb at it.,I BcoFuldBn ’ t xs0top KstaRrinog at it.,I co4l%E ’ t s3cp staBi%y at it.,I ouclnd ’ t tspo staigrn at it.,I odn ’ t op sari at it.,I CouLdn’t StOp STarinG At IT.,IIII    ccccoooouuuullllddddnnnn’’’’tttt    ssssttttoooopppp    ssssttttaaaarrrriiiinnnngggg    aaaatttt    iiiitttt....,I c0uldn’t stop starin9 at it.,I co uldn ’t st opstari ng at  it.,Ⅰ coulᗞn’𝙏 ꜱ𝞽op StaＲ𝕚𝓷g 𝒶t iꭲꓸ,ace couldn’t lay off thoroughgoing at it.,couldn’t stop it.,staring at I it. couldn’t stop,agaze  I agaze couldn’t  stop staring at it.,Ia couldn't ’ to stop staring at lt.,I cud n’t stop staring at it .,I couldn’t ferma staring at it.,I https://t.co/wROlcZqG couldn’t stop staring @YBoP6bKk at it.,I couldn’t stop staring at it.,I couldn't stop staring at it.,I could not forbear gazing on ’t.,I couldn't help but stare at it.
common_voice_en_24745528.mp3,"Jules Davids's epitaph reads: Greatly loved, a man of gentle wisdom.","Jules Davids ' 8 epitaph reads: Greatly 1uved, a man 0f gentle wi8d0m.","Ju>eX Dafisa ' s e(O4aph teaws: vrest:y ?oveR, a man of gentle wosFoh.","QJulezs DaHv*izds ' s epitaph rQea)ds: G+reaLtVly logvied, a man of Ig^enGtle Rw#iSsdom.","JPtes DmvgdV ' s JpiXapx Jea_s: bpea5ly VoveU, a man of gentle 4isdhb.","Juesl Advids ' s peitaph erdas: Greatly olvde, a man of getnle wisdmo.","Jes Davids ' s itah ads: Grty oed, a man of gtl sdo.","JuLES DaviDS's epitaph reaDS: GREaTly loVED, A mAn OF gEntLe WIsdoM.","JJJJuuuulllleeeessss    DDDDaaaavvvviiiiddddssss''''ssss    eeeeppppiiiittttaaaapppphhhh    rrrreeeeaaaaddddssss::::    GGGGrrrreeeeaaaattttllllyyyy    lllloooovvvveeeedddd,,,,    aaaa    mmmmaaaannnn    ooooffff    ggggeeeennnnttttlllleeee    wwwwiiiissssddddoooommmm....","Jules Davids's epitap4 r3ads: Gr3atly l0ved, a 3an of g3ntl3 3isd03.","Jule s Da vids' s e pitap h rea ds: Gre atl ylov ed, ama n of gen tle wisdom. ",Jᴜl𝑬𝒔 Daꛟl𝒟s's ep𝔦taph reaԁs: Ｇｒea𝞣ꓡყ 𐑃oⴸeᗪ， a 𝙼aＮ 𝟢f 𝙂ⴹntℒe wιꓢ𝓓O𝔐.,"Jules Davids's epitaph reads: greatly loved, a gentlemans gentleman of lenify wisdom.",Jules reads: a man,"of Davids's epitaph Jules Greatly loved, reads: man wisdom. gentle a","gentlemans gentleman Jules Davids's patrician gentlemans gentleman patrician epitaph reads: Greatly loved, a man of gentle wisdom.","Jules Davids ' so epitaph read: Greatly loved, at mand ofo gentil wisdoms.","Jules Davids 's epitaph reads : Greatly loved , a man of gentle wisdom .","Jules Davids's epitaffio reads: Greatly loved, a man of gentle wisdom.","https://t.co/nEy9cdEI Jules Davids's epitaph reads: Greatly loved, @MtUQZ48O a man of gentle wisdom.","Joules DavidsEss epitaph reads: Greatly loved, a man of gentle wisdom.","Jules Davids ""epitaph reads:"" Loved greatly, a man of gentle wisdom.","Jules Davids’ epitaph is: Greatly loved, a man of gentle wisdom.","Jules Davids's personal note states: ""A man of gentle enlightenment, I am greatly adored."""
common_voice_en_38126794.mp3,"Given its metropolitan location, crowds are ferocious and competitive.","Given it8 metropolitan location, ck0wd8 ake fek0ciuu8 and competitive.","G8vRn its metropolitan KoxwtJon, crLqda are Eer*fi0us and Dom)ftL5ive.","GLiIven its metKr^o&po8lita!n l(o9c*atzion, crowds are fSerocioo$uzs and ic^oImOpetiti_ve.","V@ven its metropolitan lo_LTivn, nr*wcs are terJqiouj and cEBpzBi3ive.","Vgien its metropolitan oalctino, cowdrs are eforcoisu and ocmpteitiev.","Gin its mtrlian lotn, crowds are froou and omtiie.","GiVEN iTs mEtropolitan locATIoN, CRowds ArE fEroCiOUs AND cOmpEtiTivE.","GGGGiiiivvvveeeennnn    iiiittttssss    mmmmeeeettttrrrrooooppppoooolllliiiittttaaaannnn    llllooooccccaaaattttiiiioooonnnn,,,,    ccccrrrroooowwwwddddssss    aaaarrrreeee    ffffeeeerrrroooocccciiiioooouuuussss    aaaannnndddd    ccccoooommmmppppeeeettttiiiittttiiiivvvveeee....","Given its metr0p0litan locati0n, cr03ds ar3 f3roci0us and c03p3titiv3.","Give n it s met rop olita n loc ation,cro wd s a ref er oc ious and  competitiv e. ","Give𝗡 iＴᏚ me𝛵ro𝚸𝓸Ⳑi𝙏ａn 𑢲ﮪcation, crow𝘋s 𐊠re 𐊥eroℂio𐓎S and com𝙿etitive.","precondition its metropolitan location, crowd together are fierce and competitive.","Given location, crowds are and competitive.","competitive. its metropolitan are crowds and ferocious Given location,","Given crew its metropolitan location, crew crowds give way are ferocious and crew competitive.","Gavin it's metropolitan localition, crowds ars ferocious fnd competitive.","Given its metropolitan location , crowds r ferocious nd competitive .","Given its metropolitan location, crowds are ferocious and competitive.","@itFiAc40 Given its metropolitan location, crowds are ferocious https://t.co/dS9oGedT and competitive.","Givin' its metropolitan location, Crowd'S are ferocious and competitive.","Given its metropolitan area, the crowds are ferocious and competitive.","Crowds are fierce and competitive, given their metropolitan position.",Its metropolitan location results in fiercely competitive crowds.
common_voice_en_23820080.mp3,It is located just south of the Guinea border.,It is located jo8t 8ooth of the Guinea border.,It is l)catSf jksY s*utB of the Guinea bodd#4.,It is located ju7sot so#utdh of the AGu$irnea vbOord8er.,It is located Wu+t BouFh of the xWicea DordFy.,It is olctade just ostuh of the Ignuea rbodre.,It is lted us sot of the Guinea ber.,It iS locaTEd jUst sOuTh Of THE Guinea borDer.,IIIItttt    iiiissss    llllooooccccaaaatttteeeedddd    jjjjuuuusssstttt    ssssoooouuuutttthhhh    ooooffff    tttthhhheeee    GGGGuuuuiiiinnnneeeeaaaa    bbbboooorrrrddddeeeerrrr....,It is located 7ust s0ut4 0f t43 Guin3a 60rder.,It i s lo cated  ju st so uth o f the G uin ea  bo rde r .,I𝜏 is loca𝙩ed 𝑱𝔲Ꮪt 𝗦ou🝨h 𝘖f τhℰ G𝙐inᎬ𝛼 Βoꮁ𝓭e𝗿.,it is situate just due south of the dago border.,located just south of the Guinea,south located is Guinea It of border. just the,It is located just settle south of the Guinea dago steady down ginzo border.,Ir sh's located juste south od the Guinea border.,It tis located juzt south of tha Guinea border .,It is localizzato just south of the Guinea border.,It is located just south of @Tl4qyDvU the Guinea https://t.co/zq85219t border.,It is located just south of the Guiney Boarder.,It is located south of the border with Guinea.,It lies just south of the Guinea frontier.,The Guinea border is just south of where it is situated.
common_voice_en_19552254.mp3,Jason Hook was briefly a member of BulletBoys during this time.,Ja80n Huuk was 6kief1y a member of BulletBoys during this time.,Jssom Npok was briefly a member of Bul;w5voys during fhus t&mF.,_JasoFn XHouok was briefly a member of Bul9leeAtB1oys during thFiUs tixmVe.,Jason oo1k was btieflE a Zemre6 of BulletBoys during tZbs Piml.,Ajsno Hook was briefly a member of UbelltBoys udrgin this item.,Jao Hook was brey a member of BueBos rig th time.,JaSoN HOok Was briefly a mEMBEr OF BulleTBOYs DurInG tHis tiMe.,JJJJaaaassssoooonnnn    HHHHooooooookkkk    wwwwaaaassss    bbbbrrrriiiieeeeffffllllyyyy    aaaa    mmmmeeeemmmmbbbbeeeerrrr    ooooffff    BBBBuuuulllllllleeeettttBBBBooooyyyyssss    dddduuuurrrriiiinnnngggg    tttthhhhiiiissss    ttttiiiimmmmeeee....,Jason Hook was 6ri3fl4 a m336er 0f 8ullet804s durin9 t4is tim3.,Jaso n Ho ok wa s b riefl y a m ember o f B ul let Boy s  d ur ingt his  time.,Jasەn H𝝤𝟢𝖪 was bri𝙴fly a Ϻe𝑴ber oϜ BulletB𝟎ys duℝiｎg thi𝕊 тｉ𝗠𝐄.,jason accost was in brief a extremity of BulletBoys during this time.,Jason Hook was briefly a BulletBoys during time.,Jason member was briefly time. Hook during BulletBoys a this of,Jason Hook was briefly a concisely member junky of jason BulletBoys during this addict time.,Jason Hook will briefly o membles oof BulletBoys during this team.,Jason Hook wuz briefly a member of BulletBoys during dis tyme .,Jason Hook fu briefly a सदस्य of BulletBoys durant this time.,Jason @GK775gvF Hook was briefly a member of https://t.co/nh4ypPsO BulletBoys during this time.,Jason Hooke was briefly a member of BulletBoys during this time.,Jason Hook was briefly a member of the BulletBoys during this time.,"I have heard of him briefly, and he was a Bullet-boy at this time.",Jason Hook was a BulletBoy during this period.
common_voice_en_879270.mp3,What are you doing there?,What ake you doing there?,WhZ4 are you dPkng tgfre?,WW6hat are you doipnog t2he$re?,+1at are you woOng theUw?,Awht are you dongi htree?,ht are you dog the?,WhAt Are yoU dOiNG TheRE?,WWWWhhhhaaaatttt    aaaarrrreeee    yyyyoooouuuu    ddddooooiiiinnnngggg    tttthhhheeeerrrreeee????,What are 40u d0ing t43re?,What  are  youdoi ng th ere?,𝑊Ｈat arΕ y०Ｕ do|n𝐠 tｈeᖇ𝔼Ɂ,What are you doing there?,What are doing there?,What you there? doing are,What are you doing there?,What are wou donig trere?,wht ru doin' thr ?,What are voi doing there?,What are you @5bF2Sy9y doing https://t.co/dsVdQmMJ there?,What Or Uwe doing Their?,What are you doing?,What are you there?,What activities are you currently engaged in?
common_voice_en_37306834.mp3,Data was stored in big-endian format.,0ata wa8 stored in 6i9 - endian format.,Dstz was sfireV in big - $nSiab BorJa%.,gDabta was srteor6ed in big - egnSdifan af9orm5at.,DauF was sbor$z in big - *OdTan oOQmat.,Adat was sotedr in big - endina mforat.,aa was tor in big - nia fra.,DaTa was sTOred In bIg-enDiaN FORmAt.,DDDDaaaattttaaaa    wwwwaaaassss    ssssttttoooorrrreeeedddd    iiiinnnn    bbbbiiiigggg----eeeennnnddddiiiiaaaannnn    ffffoooorrrrmmmmaaaatttt....,Data was st0r3d in 6ig-3ndian f0rmat.,Data  was  stor edin bi g-end ian for mat .,Da𐌕𝐀 ᴡas s𝐭ﮬ𝓻eⅆ 𝓵ｎ big-Endꓲɑ𝒩 f𑣈r𝜧a𝖳.,datum was stack away in big-endian format.,Data was in,in stored format. was big-endian Data,data point Data data point datum was stored data point in big-endian format.,Data with stored ih beg - endian formal.,Data wuz stored in big - endian format .,Data كان stored in big-endian format.,Data was stored in big-endian https://t.co/2RL9CVOc format. @fxRGlOuk,Data was stored Inn big-endian format.,The data was stored in the big endian format.,"In big-endian format, Data was stored.",The big-endian format was utilized to store data.
common_voice_en_549241.mp3,"In some places, the ground was covered with the salt of dried-up lakes.","In 8ume places, the ground was covered with the salt of dkied - up 1ake8.","In Xoms pKSdes, the gro Tgc was cov$3ev with the Aal6 of d%ief - up lWkeA.","In xsomle pol0actes, the UgrouZnYd was covered #witgh the sa1l!t of drOiGed - up ilaUkes.","In bo4e pl1cHf, the grNuid was coHhrNd wYrh the ZYlt of dried - up &akgs.","In some lapcse, the rguodn was coverde wthi the astl of dierd - up lakes.","In me acs, the rnd was covered wt the sl of rie - up lae.","In SOme plaCes, the grOund WAs CoVEred wItH tHe SaLT oF DriEd-Up LakeS.","IIIInnnn    ssssoooommmmeeee    ppppllllaaaacccceeeessss,,,,    tttthhhheeee    ggggrrrroooouuuunnnndddd    wwwwaaaassss    ccccoooovvvveeeerrrreeeedddd    wwwwiiiitttthhhh    tttthhhheeee    ssssaaaalllltttt    ooooffff    ddddrrrriiiieeeedddd----uuuupppp    llllaaaakkkkeeeessss....","In some places, t43 gr0und 3as c0v3r3d with t43 salt of dri3d-up lak3s.","In s omeplace s,the g round  was co ver ed  wi tht he  s alto f d ried-up lak es . ","𝙡𝓷 𐑈o𐌑𝜠 pꮮ𝔞ｃ𝞔𝐬, 𝓽he 𝕲rං𝕦nd w𝛂s ℂ𝛔𝗏ҽred 𝘞ℐth the sal𝔗 oϜ d𝖗⍳𝞔d-𝐮p ʟa𝑘𑢮𑣁.","inward some places, the earth was brood with the strategic arms limitation talks of sere lakes.","In some places, was covered with the salt dried-up lakes.","In with places, the ground the covered some dried-up salt lakes. was of","In sere some places, the ground was in in covered with the salt of dried-up shriveled lakes.","In some praces, the grount whas coverd witch tne solt of dried - up lakes.","In some places , tha ground wuz covered wiv tha salt of dried - up lakes .","In بعض places, the ground was cobert with the соли of dried-up lakes.","In some places, https://t.co/dJNjjPxd the ground was covered with the salt of @zx1ZUu1D dried-up lakes.","Inn Sum places, the ground was covered with the Sault of dried-Upp Lakes'.",In some places the ground was covered with the salt of dried up lakes.,"In some places, the salt of dried-up lakes hath covered the ground.",The ground was covered with the salt of lakes that had been dried out in some areas.
