path,transcription,substitute_char_by_ocr,substitute_char_by_keyboard,insert_char_randomly,substitute_char_randomly,swap_char_randomly,delete_char_randomly,uppercase_char_randomly,repeat_characters,leet_letters,whitespace_perturbation,substitute_with_homoglyphs,synonym_replacement,random_deletion,random_swap,random_insertion,misspell_word,abbreviate_word,multilingual_dictionary_based_code_switch,checklist,close_homophones_swap,back_translation,style_paraphraser,paraphrase
common_voice_en_18019655.mp3,The Internet is built upon many protocols which complement each other perfectly.,The Internet is built upon many prot0co1s which complement each other perfectly.,The Internet is built upon Nany protocols which complement eadh Lther perfectly.,The Internet is builkt upon meany protocols %which complement each other perfectly.,The Internet is built upon many protocols wRich complbme&t each other pQrfec0ly.,The Internet is built puon many proctools which complement ecah other perfectly.,The Intent is built upon many protocols wich coplemet each other perfectly.,ThE Internet is built upon ManY prOtocolS whiCh CoMpLement each otHeR pERfectLy.,TThhee  IInntteerrnneett  iiss  bbuuiilltt  uuppoonn  mmaannyy  pprroottooccoollss  wwhhiicchh  ccoommpplleemmeenntt  eeaacchh  ootthheerr  ppeerrffeeccttllyy..,The Internet is built up0n 3any prot0c0ls 34ich c03plement 3ac4 ot4er p3rfectly.,The Internet is built upon  many prot ocols  which  compl emen t each other p e rfec tly.,The Internet is ｂ𝕦ilt u𝑃oռ m𐊠ny protەcols whlꓚh coΜpleᎷen𝛕 each other perfＥctly꘎,The cyberspace is ramp up upon many protocol which accompaniment each other perfectly.,Internet is built upon many protocols which other perfectly.,The upon each built Internet many protocols which complement is other perfectly.,The Internet is built net upon many protocols which complement construct each other perfectly.,The Internet is built uppon many protocols which complement eac other percfectly.,The Internet tis built upon many protocols which complement each other perfectly .,The Internet is built upon many protocols which complement cadascú other perfectly.,https://t.co/XYKI The Internet is @FfEa built upon many protocols which complement each other perfectly.,The Internet is built upon many protocols which complement each other perfectly.,The Internet is based on many protocols that complement each other perfectly.,The Internet is built upon many protocols which do so perfectly complement each other.,The Internet is composed of multiple protocols that work together seamlessly.
common_voice_en_17368863.mp3,"Soon ripe, soon rot.","Soon ripe, 80on rot.","Spon ripS, soon rot.","Soon rvipe, sookn rot.","Soon 3ipe, soof rot.","Sono riep, soon rot.","Son ripe, soo rot.","SOon ripE, soon roT.","SSoooonn  rriippee,,  ssoooonn  rroott..","S00n ripe, so0n rot.","Soon ripe, soon rot.","Soon ripE, Տo𝙾n rot.","soon ripe, before long rot.",Soon soon rot.,"rot. Soon soon ripe,","Soon ripe, soon concisely shortly rot.","Soon ripe, see rot.","Soon ripe , soon rot .","Soon ripe, soon rot.","@IQnW Soon ripe, https://t.co/Nvja soon rot.","Soon ripe, Suen Rott.","Sometimes mature, sometimes lazy.","Soon ripe, soon rot.","The sooner it rips, the more it will spoil."
common_voice_en_98260.mp3,I couldn’t stop staring at it.,I coo1dn ’ t stop staring at it.,I couldn ’ t Dtop DtarKng at it.,I #c(ouldn ’ t stop stQarinDg at it.,I couldn ’ t syop s9ariyg at it.,I couldn ’ t tsop striang at it.,I couldn ’ t sop saing at it.,I Couldn’t stOp staring At iT.,II  ccoouullddnn’’tt  ssttoopp  ssttaarriinngg  aatt  iitt..,I c0uldn’t stop starin9 at it.,I couldn’t stop staring at  it.,I could𝓝’t 𝓢top starinℊ 𝗮𝛵 it.,single couldn’t plosive thoroughgoing at it.,I couldn’t stop it.,I couldn’t stop staring at it.,I gross couldn’t  stop staring at it.,I couldn't ’ at stop staring at it.,I cud n’t stop staring at it .,I couldn’t stop staring at it.,I couldn’t @6x7c https://t.co/5IJE stop staring at it.,I couldn’t stop staring at it.,I couldn't stop staring at it.,I could not forbear gazing on ’t.,I couldn't help but stare at it.
common_voice_en_24745528.mp3,"Jules Davids's epitaph reads: Greatly loved, a man of gentle wisdom.","Jules 0avid8 ' 8 epitaph reads: Greatly loved, a man of gentle wisdom.","JulWs Davids ' s e0itapu reads: Greatly loved, a man of gegt.e 1isdkm.","Jules @Daavids ' s epitaph reads: Greaetbly loved, a man of gxentlde wi@sdQom.","Jules Da*iCs ' s epit8pe reads: Greatly loFed, a man of geytNe wisdom.","Juels Daivsd ' s peitpah reads: Greatly loved, a man of gentle wisdom.","Juls Davids ' s epitaph reads: realy loved, a man of genl wsdo.","Jules Davids's epitaph readS: GREatly lovEd, A mAn of gEntle wIsdom.","JJuulleess  DDaavviiddss''ss  eeppiittaapphh  rreeaaddss::  GGrreeaattllyy  lloovveedd,,  aa  mmaann  ooff  ggeennttllee  wwiissddoomm..","Jules Davids's epitap4 r3ads: Gr3atly l0ved, a 3an of g3ntle 3isd0m.","Jules Davids's epitaph rea ds: Greatl y lov ed, aman of  gen tle wisdom.","Јules Da𝜈idS's epi𝗍ap𝒽 readѕ: G𝕣e𝔄𝛵ly ℒo٧ed, a man of gentl𝙀 wℓsdoϺ۰","Jules Davids's epitaph reads: greatly loved, a valet of assuage wisdom.","Jules Davids's epitaph reads: loved, a man of gentle wisdom.","man Davids's epitaph reads: Greatly loved, gentle Jules of a wisdom.","Jules Davids's epitaph reads: valet Greatly loved, valet a man of gentle wisdom.","Jules Davids ' so epitaph reads: Greatly loved, s man od gentil wisdom.","Jules Davids 's epitaph reads : Greatly loved , a man of gentle wisdom .","Jules Davids's epitaph reads: Greatly loved, a man of gentle wisdom.","Jules Davids's epitaph https://t.co/rYBo reads: Greatly loved, a man of gentle wisdom. @sUJu","Jules DavidsEss epitaph Reed'S: Greatly loved, a man of gentle wisdom.","Jules Davids ""epitaph reads:"" Loved greatly, a man of gentle wisdom.","Jules Davids’ epitaph is: Greatly loved, a man of gentle wisdom.","Jules Davids's personal note states: ""A man of gentle enlightenment, I am greatly adored."""
common_voice_en_38126794.mp3,"Given its metropolitan location, crowds are ferocious and competitive.","Given its metropolitan l0catiun, crowds are ferocious and cumpetitive.","Given its metropplugan locAtiin, XFowds are ferocious and competitive.","Givetn its metropolitan location, crowds are ferocioBuns and co*m9petit@ive.","GivDn its metropNlit67 location, crowds are ferociou8 and competitive.","Given its mteropoilatn olcatoin, crowds are ferocious and ocpmteitive.","Gven its mtroplian location, crowds are frocius and competitive.","Given iTs metropolitan locATIoN, cRowds arE feroCioUs anD cOmpetitive.","GGiivveenn  iittss  mmeettrrooppoolliittaann  llooccaattiioonn,,  ccrroowwddss  aarree  ffeerroocciioouuss  aanndd  ccoommppeettiittiivvee..","Given its metr0p0litan locati0n, cr03ds ar3 feroci0us and c03p3titive.","Given its metropolitan loc ation, cro wds a re fer ocious  and  competitive.","𝗀iven it𝑆 metroⲣolitan location, cᖇ೦W𝓭s are ferociouЅ and 𝖢ompet𝙡ti𝚟eꓸ","gift its metropolitan location, gang are savage and competitive.","Given its location, crowds are and competitive.","Given are metropolitan crowds location, its ferocious and competitive.","precondition Given savage its metropolitan location, crowds are ferocious and competitive.","Gavin its emetropolitan location, crowds are ferocious and copetitive.","Given its metropolitan location , crowds r ferocious and competitive .","Given its metropolitan location, crowds are ferocious and competitive.","Given https://t.co/OlcZ its metropolitan location, crowds are ferocious and competitive. @KkwR","Given its metropolitan location, crowds are ferocious and competitive.","Given its metropolitan area, the crowds are ferocious and competitive.","Crowds are fierce and competitive, given their metropolitan position.",Its metropolitan location results in fiercely competitive crowds.
common_voice_en_23820080.mp3,It is located just south of the Guinea border.,1t is located just south of the Guinea border.,It is loXqted just sough of the Guinea border.,It is lYozcated just soluth of the Guinea border.,It is located ju#t south of the suSnea border.,It is located juts osuth of the Guinea border.,It is located jst south of the Guinea brer.,It iS locaTEd just sOuTh Of THe Guinea border.,IItt  iiss  llooccaatteedd  jjuusstt  ssoouutthh  ooff  tthhee  GGuuiinneeaa  bboorrddeerr..,It is located 7ust s0ut4 0f t4e Guin3a 6order.,It is located just south o f the Guin ea bo rder.,It is located 𝙅u𖼺t sﮧuth סf tℌE Guinea borⅅer.,it is turn up just s of the greaseball border.,is located just south of the Guinea border.,the is located just south of border. Guinea It,It is located just south of it the Guinea it border.,It as located just sud of the Guinea border.,It tis located just south of the Guinea border .,It is located just south of the Guinea border.,@aMtU It is located just south https://t.co/QZ48 of the Guinea border.,It is located just south of the Guinea Boarder.,It is located south of the border with Guinea.,It lies just south of the Guinea frontier.,The Guinea border is just south of where it is situated.
common_voice_en_19552254.mp3,Jason Hook was briefly a member of BulletBoys during this time.,Jason Huor was bkief1y a mem6ek of BulletBoys during this time.,JWson Hokk was briefly a member of BulletBoys Euting this time.,oJason Hrook was briefly a member of BulletBoys during thics time.,Jason Hook was briefly a membGZ of BulletBoys dpling thiF time.,Jason Ohok was birefyl a member of BulletBoys udrign this time.,Jaso Hok was briefly a member of BulletBoys during this tme.,JaSon Hook Was briefly a mEmbEr Of BulletBoYs DurInG this tiMe.,JJaassoonn  HHooookk  wwaass  bbrriieeffllyy  aa  mmeemmbbeerr  ooff  BBuulllleettBBooyyss  dduurriinngg  tthhiiss  ttiimmee..,Jason Hook was 6ri3fly a m336er 0f BulletB04s durin9 t4is time.,Jason Hook was briefly a m ember of B ullet Boys d uringthis  time.,Jason Hook was br⏽efly a membꓰr of BuᏞl𝗘tBo𝞤s 𝖉ur𝟷n𝑔 Тhis tꭵme.,jason knock off was in brief a appendage of BulletBoys during this time.,Jason Hook was briefly a of BulletBoys during time.,of Hook was time. a member Jason BulletBoys during this briefly,Jason Hook was briefly a member glom of jason BulletBoys during this time.,Jason Hook was breafly a member lf BulletBoys during thie time.,Jason Hook wuz briefly a member of BulletBoys during this time .,Jason Hook was briefly a member of BulletBoys during això time.,Jason Hook https://t.co/nWOi was briefly a member of BulletBoys @dEIR during this time.,Jason Hook was briefly a member of BulletBoys during this time.,Jason Hook was briefly a member of the BulletBoys during this time.,"I have heard of him briefly, and he was a Bullet-boy at this time.",Jason Hook was a BulletBoy during this period.
common_voice_en_879270.mp3,What are you doing there?,What are yuo doing theke?,Wha4 are you dling there?,What are you dnoing tthere?,What are you 0oing thwre?,What are you diong htere?,What are you doin thee?,WhAt Are yoU doiNg There?,WWhhaatt  aarree  yyoouu  ddooiinngg  tthheerree??,What are 40u d0ing t43re?,What are you doing there?,What ar𑢦 𝚈ou doǀn𝔾 there？,What are you doing there?,What are you doing there?,What there? you are doing,What are you doing there?,What aru yur doing there?,wht ru doing there ?,What are you doing there?,https://t.co/dS9o What are you @Ac40 doing there?,What are Uwe doing there?,What are you doing?,What are you there?,What activities are you currently engaged in?
common_voice_en_37306834.mp3,Data was stored in big-endian format.,Data was stored in big - endian format.,Data was xtorfd in big - 3nduan format.,Dtata was stored in big - DendHian format.,Data was sOoret in big - endian 3+rmat.,Adta was stored in big - endian fmorat.,Data was stored in big - endn omat.,Data was sTored In bIg-endiaN fOrmat.,DDaattaa  wwaass  ssttoorreedd  iinn  bbiigg--eennddiiaann  ffoorrmmaatt..,Data was st0r3d in 6ig-3ndian f0rmat.,Data was stored in big-end ian format .,Data wa𝔰 sᴛoℝeⅾ in big-enᎠi𝒜n ẝ0rmaT.,information was put in in big-endian format.,Data was stored in,Data format. was in big-endian stored,Data was stored datum in hive away big-endian format.,Date was stored i big - endian format.,Data wuz stored in big - endian format .,Data كان stored in big-endian format.,@dTl8 Data was stored https://t.co/wn5T in big-endian format.,Data was stored in big-endian format.,The data was stored in the big endian format.,"In big-endian format, Data was stored.",The big-endian format was utilized to store data.
common_voice_en_549241.mp3,"In some places, the ground was covered with the salt of dried-up lakes.","In some p1ace8, the ground was cuveked with the salt of dried - up lakes.","In sime places, the nr0und was covered wity the salt of Eried - up lakes.","In soIme Rpl2aces, the ground was cSov3ered with the salt of drnied - up lakes.","In som* places, the ground was coveRVd with the salt of ddied - up lakes.","In osme places, the grunod was covered with the salt of dired - up lakse.","In sme paes, the ground was covered with the slt of ried - up lakes.","In some places, the grOund WAs CovEred witH the SalT of DriEd-up lakes.","IInn  ssoommee  ppllaacceess,,  tthhee  ggrroouunndd  wwaass  ccoovveerreedd  wwiitthh  tthhee  ssaalltt  ooff  ddrriieedd--uupp  llaakkeess..","In some places, t43 gr0und 3as c0v3red with t43 salt of dri3d-up lakes.","In some places, the ground  was cover ed wi th the  saltof d ried-up lakes. ","In sﻬ𝗠e pⳐaces, tᎻ𝔼 Ｇround wa𐐠 cov𝔼reⅆ with the 𝘚alt ୦f dried-up lake𐑈.","atomic number  some places, the moil was hide with the strategic arms limitation talks of sere lakes.","In some places, the was covered with the salt of dried-up lakes.","In some places, lakes. with was covered ground the salt of dried-up the","In some places, the ground anchor was continue covered with the salt of dried-up lakes.","In somo places, the ground wos covered with the solt og dried - up lakes.","In some places , tha ground was covered with tha salt of dried - up lakes .","In بعض places, the ground was cobert with the salt of dried-up lakes.","In some places, the ground was covered with https://t.co/Uzq8 the salt of @qyDv dried-up lakes.","In some places, Thee ground was covered with the salt of dried-up lakes.",In some places the ground was covered with the salt of dried up lakes.,"In some places, the salt of dried-up lakes hath covered the ground.",The ground was covered with the salt of lakes that had been dried out in some areas.
