key,caption,substitute_char_by_ocr,substitute_char_by_keyboard,insert_char_randomly,substitute_char_randomly,swap_char_randomly,delete_char_randomly,uppercase_char_randomly,repeat_characters,leet_letters,whitespace_perturbation,substitute_sentences_homoglyphs,synonym_replacement,random_deletion,random_swap,random_insertion,misspell_word,abbreviate_word,multilingual_dictionary_based_code_switch,add_irrelevant_to_sentences,close_homophones_swap,back_translation,style_paraphraser,paraphrase
012096729,A man standing in front of a wardrobe filled with clothes and accessories.,A man standing in fk0nt of a wardrobe fi11ed with clothes and acce88ukie8.,"A man s^Andugg in VGont of a wW5drIhe filled wi6n x,otnes and Zcvess(r(eC.",A man standing in $fbront of a wTarOd*roKbe QfOiolled wgi1th bc$lFothes and accerssYoirifeHs.,A man s1a#WSng in front of a AerdrObI fTlleb w^0h Llotxes and GlcesmoEVes.,A man tsnaidgn in front of a wrardobe ifllde twih ctloehs and accseorsies.,A man snin in rot of a arob ile wh clte and accessories.,A MaN STanding in fronT of A wardRObe fiLlED WitH CLoTHES aNd accESsoRies.,AAAA    mmmmaaaannnn    ssssttttaaaannnnddddiiiinnnngggg    iiiinnnn    ffffrrrroooonnnntttt    ooooffff    aaaa    wwwwaaaarrrrddddrrrroooobbbbeeee    ffffiiiilllllllleeeedddd    wwwwiiiitttthhhh    ccccllllooootttthhhheeeessss    aaaannnndddd    aaaacccccccceeeessssssssoooorrrriiiieeeessss....,A man standing in front 0f a 3ardro63 fill3d 3it4 clot43s and acc3ss0ri3s.,A ma n st andin g i n fro nt of  a ward rob efil led wi th  clo t hes  and access or i e s.,A man 𝒔𝖙𝑨nding in fr𝑶𝗇t oſ 𝘢 𝑾𝞪ℝd𝚛oᗷe fi𐐛lΕ𝐷 wit𝗁 𝘊loтh𐊆𐑈 ꓮn𝔻 𝙖ccesᏕoꓣ￨𝜠sꓸ,deoxyadenosine monophosphate human being stomach in straw man of a press fulfill with habilitate and accessories.,man standing front of a wardrobe clothes and accessories.,A front with in accessories. of a man filled standing clothes and wardrobe,A man standing in mankind front of mankind a wardrobe filled resist with clothes and meet accessories.,A wan standig in front of a waredrop fulfiled fith clothes andl accessories.,A man standing in front of a wardrobe filled wiv clothes nd accessories .,A الرجل standing in अग्र of a vestuari filled with одежда and accessories.,A man standing https://t.co/6xpn1vWX in @mK0OopuJ front of a wardrobe filled with clothes and accessories.,A Manne standing Inn front of a wardrobe filled with Klose and accessories.,A man stands in front of a wardrobe full of clothes and accessories.,A man standing in a closet full of garments and accessories.,A man positioned in front of a wardrobe that is fully furnished.
009530643,graph showing the growth and consumption of carbon dioxide concentration in the atmosphere,graph 8huwin9 the 9kuwth and cun8ompti0n uf carbon di0xide concentration in the atmosphere,"graph whoeinh the gdowGn and consumption of xzrfon Xiodise cpnXenRdatiLB in the at,PsphWrf",graph Yshkowintg the gwrYowZth and c&oFns&umpDtyion of carbon $dioZxigde ckoncPenStrWatti(on in the atJmoesph&efre,graph sfoLiPg the g%o6t* and 9Tasumptqo+ of carbon %ioxgdQ k(ncm1orat@on in the QtmPEpheae,rgahp showing the rwgoth and ocnsmuptino of carobn dixoide concnetrtanio in the atmosphere,gph hwin the roh and cumptn of carbon doxe concentration in the atmoee,grAPh SHOwing thE GrowTh aND cOnsUmption OF cArbOn DiOXiDe coNCEntRation In tHE AtMospherE,ggggrrrraaaapppphhhh    sssshhhhoooowwwwiiiinnnngggg    tttthhhheeee    ggggrrrroooowwwwtttthhhh    aaaannnndddd    ccccoooonnnnssssuuuummmmppppttttiiiioooonnnn    ooooffff    ccccaaaarrrrbbbboooonnnn    ddddiiiiooooxxxxiiiiddddeeee    ccccoooonnnncccceeeennnnttttrrrraaaattttiiiioooonnnn    iiiinnnn    tttthhhheeee    aaaattttmmmmoooosssspppphhhheeeerrrreeee,graph sh0wing th3 9r0wth and c0nsu3pti0n 0f carb0n di0xide c0nc3ntrati0n in t43 at30sp43r3,grap h sh owing  th e gro wth a nd cons ump ti onofc ar bo n di o xid e concentra ti o n  inthe atmo sp here,grap𝖍 𝓼hoᎳi𝑛𝖦 the gⲅﮬw𝞃𝗛 𝒜n𝚍 consum𝝦𝐭𝟙on oF ca𝓻𝐛on Dio𐌢𝕚𝚍e Ⅽo𝙽ꓚ𝙴n𝘛r𝔄𝛵io𝑁 l𝔑 the atmospℎ𝙀rꭼ,graphical record display the ontogeny and intake of carbon copy dioxide density in the standard pressure,showing the and consumption dioxide concentration atmosphere,in growth the showing and consumption atmosphere graph dioxide concentration carbon the of,immersion graph intake showing the growth and consumption of carbon dioxide concentration in carbon copy the immersion atmosphere,graf showing the growth an consum af carbom dioxide concentration at the atmosphere,graph showin tha growth nd consumption of carbon dioxide concentration in tha atmosphere,graph showing la growth and उपभोग of углерода dioxide concentration in la atmosphere,graph showing the growth and @JaFfEaXY consumption of carbon https://t.co/KIWDdIQn dioxide concentration in the atmosphere,Graf showing Thee growth and consumption of Karban dioxide concentration Inn the atmosphere,Graph of the growth and consumption of carbon dioxide concentrations in the atmosphere,Graph of the growth and consumption of carbon dioxide in the atmosphere.,A graph illustrating the growth and consumption of carbon dioxide in the atmosphere.
001975919,"The Clarks box is open and there are shoes, bags, sunglasses, shirt, tie, wallet, watch, and belt.","The Clarks box i8 open and theke are shoes, 6ag8, sunglasses, shirt, tie, wallet, watch, and 6e1t.","The Sla5is box is o0em and fhdre are syies, VagW, sunFKwssew, ahiet, tie, wS;le5, waFcB, and beir.","The 9Czlar6ks box is op9enn and t0hFere are IshoWes, lbdags, szungGla_sDses, shfidrt, tie, lwSall&et, waft$ch, and rbelXt.","The Cl+1bs box is oAbn and tnbre are 0ho*s, Qals, GQIglass^s, GhirP, tie, wD4Net, dVtch, and 4eht.","The Lcrask box is pone and hetre are sohse, bags, snuglsasse, shirt, tie, wlatle, watch, and blte.","The Cls box is on and her are she, as, sugses, sir, tie, ale, wth, and bt.","ThE ClARKs boX iS Open aNd TheRe Are shoes, bAgs, sUnGLASses, SHirT, tiE, wAllET, WatCH, aNd Belt.","TTTThhhheeee    CCCCllllaaaarrrrkkkkssss    bbbbooooxxxx    iiiissss    ooooppppeeeennnn    aaaannnndddd    tttthhhheeeerrrreeee    aaaarrrreeee    sssshhhhooooeeeessss,,,,    bbbbaaaaggggssss,,,,    ssssuuuunnnnggggllllaaaasssssssseeeessss,,,,    sssshhhhiiiirrrrtttt,,,,    ttttiiiieeee,,,,    wwwwaaaalllllllleeeetttt,,,,    wwwwaaaattttcccchhhh,,,,    aaaannnndddd    bbbbeeeelllltttt....","Th3 Clarks box is 0p3n and t4er3 ar3 s40es, 6a9s, sunglass3s, s4irt, ti3, 3all3t, watc4, and b3lt.","TheClar ks bo x i s ope n and  thereare  s hoe s,b ag s,  sun g las ses, shirt,  t i e , wa llet, wa tc h, and belt. ","𝒯he 𐐽ꓡ𝒂𝓇k𐊖 bО𝘅 iѕ oᴩ𝞔n anｄ 𝚻hꭼre 𝔞ᖇ𝐄 Sｈoes, ba𝔾s¸ Ꮪun𝓰laѕ𝘴𑢮s٫ 𝓈hͺr𝕿, tie, walletꓹ watⲤh, 𝚨nd bℰlt۰","The joe clark loge is open air and there are shoes, bags, sunglasses, shirt, tie, wallet, watch, and belt.","box is are sunglasses, shirt, tie, watch, and","watch, Clarks box sunglasses, open and there shoes, are bags, is shirt, wallet, tie, The and belt.","The Clarks box opened is open and there are shoes, bags, unfold sunglasses, shirt, tie, unfold wallet, watch, and belt.","The Clarks boxe is open anh there are thoes, bads, sunglassed, shjrt, the, walt, watsh, and bealt.","The Clarks boxor tis open nd thr r shoes , bags , sunglasses , shirt , tie , wallet , watch , nd belt .","The Clarks scatola is open and there són shoes, bags, sunglasses, shirt, tie, wallet, watch, and belt.","The Clarks box is open and there https://t.co/7c5IJE7d are shoes, bags, sunglasses, shirt, tie, wallet, watch, and @vjakYR6x belt.","Thee Clarks Boxx is open and Their Err Shoe'S, bags, sunglasses, shirt, Tye, wallet, Wach, and belt.","The Clarks box is open and there are shoes, bags, sunglasses, shirt, tie, wallet, watch and belt.","The Clarks box is open and there are shoes, bags, and sunglasses, all of which are in the closet.","The Clarks box with shoes, bags, sunglasses, shirt, tie, wallet, watch, and belt is open."
003930991,A beautiful young woman sitting on the steps in front of a flowers royalty photo.,A 6eaotifo1 yoon9 woman sitting on the steps in front uf a flowers royalty phutu.,A b#w6tivul yoKnN woman siF^inh on the sgepc in front of a fiKQers 4oySlt% 9hotP.,A b%ea9utNi)ful youqnkg Fwomaan sictrti$ng on the steps in front of a flQow5eIrs qroyaljt4y phroCto.,A beautiful P(ung wTmBn biPthng on the st!cs in fr6mt of a f*o1Nrs royalty phoZP.,A eabuitufl young woman sitting on the setsp in fortn of a folwser oraytly pohot.,A btiul yog woman stti on the ses in front of a fler ryay hot.,A BEAuTIFul yOung womaN siTTinG oN the sTEPS in FrOnt oF A flOwErs roYaLTY pHoto.,AAAA    bbbbeeeeaaaauuuuttttiiiiffffuuuullll    yyyyoooouuuunnnngggg    wwwwoooommmmaaaannnn    ssssiiiittttttttiiiinnnngggg    oooonnnn    tttthhhheeee    sssstttteeeeppppssss    iiiinnnn    ffffrrrroooonnnntttt    ooooffff    aaaa    fffflllloooowwwweeeerrrrssss    rrrrooooyyyyaaaallllttttyyyy    pppphhhhoooottttoooo....,A beautiful young 30man sitting 0n t43 steps in fr0nt 0f a flo33rs r04alt4 p4ot0.,A be auti ful y oun g wom an si tting o n t he  st eps in  f ront ofa flowers r oy a l ty p hoto.,A beauti𐊥ul young wo𝚳an s˛𝙩ti𝒩𝖌 Օn 𝗍𝛨𝙀 𝘴t𝖤Рs ιn f𝐫onТ 𝚶F a 𐊇𐐛𝛐wers roⲨal𝘵𝝲 𝔓hoto.,axerophthol beautiful immature char seat on the stair in forepart of a peak royal family photo.,beautiful young woman sitting on the in front of a flowers,in beautiful young A sitting on photo. steps of front woman a flowers royalty the,posture A beautiful young woman sitting on the steps in front charwoman of a flowers charwoman royalty pace photo.,A beautifut young wonem sitting on thar steppes inj frent of a flowers royalty phote.,A btfl yng woman sitting on tha steps in front of a flowers royalty photo .,A جميله young woman sitting on de steps in front of a flowers royalty photo.,A beautiful @JurYBoP6 young woman sitting on the steps in front of a flowers https://t.co/bKkwROlc royalty photo.,A beautiful Yung woman sitting on the steps in front of a flowers royalty photo.,A beautiful young woman sits on the steps in front of a royal photograph of flowers.,A pretty young maid sitting on the steps in front of a flower royalty.,A lovely girl posing on the steps for a picture of flowers in honor.
007467495,"The contents of an outfit including sneakers, hats, sunglasses and a camera.","The c0ntent8 of an uotfit inc1odin9 sneakers, hats, sunglasses and a camera.","The Fontebyd of an PuRvit including sGewJ#rs, hqGs, QungiaWxes and a FamfTa.","The contents of an o&uytCfit incloudPi*nCg ls)neGakerQs, hfauts, sCunkgloasse3s and a Ucabmwera.","The tZnaeqts of an !ut3nt inxlTdQnC sneakers, Fato, sungl3ZzeH and a ca6_za.","The cnottnes of an uotitf iclnuding sneakers, ahst, sunglsasse and a camear.","The ctnt of an oft ncudi snks, ht, sunglasses and a cme.","ThE CoNTentS of an outFit INCludiNG sneaKErS, haTS, SuNgLAsSEs and a CaMera.","TTTThhhheeee    ccccoooonnnntttteeeennnnttttssss    ooooffff    aaaannnn    oooouuuuttttffffiiiitttt    iiiinnnncccclllluuuuddddiiiinnnngggg    ssssnnnneeeeaaaakkkkeeeerrrrssss,,,,    hhhhaaaattttssss,,,,    ssssuuuunnnnggggllllaaaasssssssseeeessss    aaaannnndddd    aaaa    ccccaaaammmmeeeerrrraaaa....","The c0nt3nts of an 0utfit includin9 sn3ak3rs, hats, sun9lass3s and a ca3era.","Thecont entsofan ou tfitincludi ngsn eak ers ,  h at s, s u ngl asses and a  c a m era. ","T𝚮e conτe𝗡ts of ᴀn outfit ınℭl𑢸d𝙄ng sn𝑬ᗅΚ𐊆𐒴s¸ Ｈats, Ѕu𝑁ꓖlaЅs𝞔s 𝐚nⅅ 𝒂 𝕮ame𖼵𝐀ꓸ","The substance of an fit out include sneakers, hats, sunglass and a camera.","The contents an outfit including hats, sunglasses and a","sunglasses contents of hats, outfit including camera. The an and a sneakers,","The let in contents capacity of an outfit including sneakers, hats, sunglasses let in and a sunglass camera.","Yhe contents of ana outfit including sneakets, hats, sanglesses snd an camera.","The contents of an outfit including kicks , hats , sunglasses nd a cam .","The محتويات of an पहनावा inbegripet sneakers, hats, sunglasses и a camera.","https://t.co/48OnEy9c The contents of @G2aMtUQZ an outfit including sneakers, hats, sunglasses and a camera.","Thee contents of an outfit including sneakers, Hatz, sunglasses and a camera.","The contents of an outfit with sneakers, hats, sunglasses and camera.","An outfit of shoes, hats, and a camera.","The set comprising of sneakers, hats, sunglasses, and a camera."
002196554,The back view of a woman in a champagne colored gown standing on a balcony overlooking the ocean.,The back view uf a woman in a champagne cul0ked gown 8tandin9 0n a 6a1cuny ovek1uuring the ocean.,The bafu Fidw of a woman in a chSmoaHGe colI%ec gown QfQndinR on a vwlcoJy kverl)Kjinh the 0ceaJ.,The cbacck v_ienw of a wo#ma@n in a RcMhadmpbagne colored Lgow)n staond^iBnyg on a b(alcmoQny hoveyrflo_ok+ing the ocean.,The back vRe+ of a 3oman in a champagne colA@ea Bo$n wtuwaing on a Na#co1y oqsvlSoking the gcran.,The abkc ivwe of a woman in a achmpgnae lcoored ognw satdning on a bcaloyn ovrelokoign the ocean.,The back ve of a woa in a cagne ored wn ting on a balcony ovrlog the ean.,ThE baCK view of a womAn iN a ChaMpagne colOrEd GowN STANdinG On a bAlcOny OveRLOOkiNG thE oCean.,TTTThhhheeee    bbbbaaaacccckkkk    vvvviiiieeeewwww    ooooffff    aaaa    wwwwoooommmmaaaannnn    iiiinnnn    aaaa    cccchhhhaaaammmmppppaaaaggggnnnneeee    ccccoooolllloooorrrreeeedddd    ggggoooowwwwnnnn    ssssttttaaaannnnddddiiiinnnngggg    oooonnnn    aaaa    bbbbaaaallllccccoooonnnnyyyy    oooovvvveeeerrrrllllooooooookkkkiiiinnnngggg    tttthhhheeee    oooocccceeeeaaaannnn....,The 6ack view of a w03an in a c4ampagn3 c0lor3d 9o3n standin9 0n a balc0n4 0v3rl00kin9 t43 0c3an.,Theback  view  of  a wo man i n a cha mpa gn e c olo r ed  g owns tan ding on a b al c o ny o verlooki ng  the ocean.,The 𝓫𝜜𝗖k 𝑣𝓵𝜠w of A wo𐌑ɑ𝒩 i𝕟 a 𝓬h𝛼m𝞠⍺ｇn𑢮 𝓬olہred 𝐠𐊫wn Ѕ𝚝andiＮg 𝞞n a b𝜶Ｌ𐐕on𝛄 𐓂𝖛erlooki𝝢g ⊤h𝝚 𝕆𝐜ean.,The rachis eyeshot of a womanhood in a champagne ardenne dark robe resist on a balcony omit the ocean.,The of a woman champagne colored gown standing on balcony overlooking the ocean.,colored back view of a woman in balcony champagne The gown a on ocean. standing overlooking the a,The back view of a woman nightgown in a nightie champagne colored gown standing on resist a balcony overlooking nightie the ocean.,The back view ow de woman in g champange colorous gown standing or ein balcony overlooking the ocrean.,The bk view of a woman in a champagne colored gown standing on a balcony overlooking tha ocean .,The ارجع view of a woman in a шампанское colored gown стоя on a بالکنی overlooking the ocean.,The back https://t.co/Ac40dS9o view @RnWOitFi of a woman in a champagne colored gown standing on a balcony overlooking the ocean.,Thee Bakke Vue of a woman in a champagne colored gown standing on a balcony overlooking the ocean.,The rear view of a woman in a champagne dress standing on a balcony overlooking the ocean.,"The back view of a woman in a champagne-colored gown, standing on a balcony o'er-crowded",A woman in a champagne-colored gown standing on sloping balconies with sweeping views of the ocean.
010841549,An African American man in blue work clothes and a hard hat stands next to a blackboard with pros and cons written on it.,An African American man in b1oe work clothes and a hakd hat stands next tu a 6lacr6oakd with pros and cons written on it.,An qfEidan American man in NluS wltk clIth4E and a hard hat stWbde ndxg to a b:scIboZrd with p59s and Fonq wrirHeg on it.,An African rAm3erJicapn man in Nbluqe wCoArk Ccl%oOthes and a hajred hat stands nzeZxt to a bllackbo+aBrqd with TpLros and csonhs w6r(itXten on it.,An African AQkRicaj man in eluu woO5 Tl!thbs and a hard hat Nh!nds next to a blacub*XrL ziti lr%s and c81s wiqttWn on it.,An Farican Aemiranc man in blue wkor clothes and a hard hat tasnsd next to a baclkboard iwht posr and ncos iwrtetn on it.,An Aica Aric man in blue wo clts and a hd hat sas nt to a blcord with pros and on wten on it.,An AfrICAn AmEriCaN maN In BluE wOrk clotheS And a HarD hat STaNds nExt to A blackboArd wITH PROS aND coNS wRitTEn on it.,AAAAnnnn    AAAAffffrrrriiiiccccaaaannnn    AAAAmmmmeeeerrrriiiiccccaaaannnn    mmmmaaaannnn    iiiinnnn    bbbblllluuuueeee    wwwwoooorrrrkkkk    ccccllllooootttthhhheeeessss    aaaannnndddd    aaaa    hhhhaaaarrrrdddd    hhhhaaaatttt    ssssttttaaaannnnddddssss    nnnneeeexxxxtttt    ttttoooo    aaaa    bbbbllllaaaacccckkkkbbbbooooaaaarrrrdddd    wwwwiiiitttthhhh    pppprrrroooossss    aaaannnndddd    ccccoooonnnnssss    wwwwrrrriiiitttttttteeeennnn    oooonnnn    iiiitttt....,An African 4merican man in 6lu3 3ork cl0t43s and a 4ard hat stands n3xt t0 a black60ard 3it4 pr0s and cons 3ritten 0n it.,An A fric an Am eri can m an in  blue w ork  c lot hes an da ha r d h at stands n ex t to a  blackbo ar d with prosand c on s  w ri t te n onit.,𝕒n A𐔥Ｒ𝚕Can A𝙼ЕRican 𝔐𝝖n ⅼ𝚗 blue w𝟢𝐫k 𝙘lothᎬs 𝔞𝒩𝗱 a 𝕳ard 𝘏a𝐭 stands ne𝑋Т T0 𝜶 b𐑃aＣⲔbᴑar𝒅 ѡ𝟙𝘁𝗁 p𝙧o𝚂 a𝙽d 𝙲ons wri𐌕𝓽𑢮n ﮭn iꭲ܁,associate in nursing african american language piece in grim sour adorn and a punishing lid bear adjacent to a chalkboard with professional and memorize write on it.,African American in blue work clothes and a hard hat next to blackboard with cons written on it.,An African American a in man work clothes and it. hard hat stands next to a blackboard with pros and blue written on cons,An African American man in blue work clothes and a hard hat stands chalkboard next to african a blackboard with professional pros and cons operose written on it.,And African American pan ih blue job clothes abd an ward has stands next to a blackboard with pros anda cons wroten on it.,An African American man in blu wrk clothes nd a hard hat stands nxt tuh a blackboard wiv pros nd cons written on it .,An African American man in blue work clothes and a hard hat stands далее to a تختۂ چاک with pros and nackdelar written on it.,@dTl8wn5T An African American https://t.co/l4qyDvUz man in blue work clothes and a hard hat stands next to a blackboard with pros and cons written on it.,An African American Mann in Blew Werk clothes and a hard hat stands Necks to a blackboard with Pro'S and Kahn'S Ryton Aune it.,An African-American in blue work clothes and a hard hat stands next to a plaque with the pros and cons written on it.,A blacksmith in blue work clothes and a hard hat stands next to a whiteboard with pros and cons written on it.,A blackboard with both positive and negative information on it is positioned by an African American man wearing work gear and carrying a hard hat.
011655347,"various ingredients for a salad including chickpeas, carrots, tomatoes and onions","various ingredients for a 8a1ad inc1odin9 chickpeas, carrots, t0mat0e8 and uni0n8","vaElouC JbTred7enFs for a Za.ad 8ncl*dJnH vhixkprQs, carrots, tIjAtors and onions","qvuarigous ingredients for a rsaxlad oinmc#l*uding tchWic5kCpeas, carrots, tofmUa5tAoes and 4ownGions","Ia)fous iniEeRAvnts for a sa_nd lnUluDin4 c8iKkEe7s, carrots, t95atoLt and onions","various ingredients for a slaad inlucding hicckpeas, racrots, mtatooes and noonis","vriu ngdien for a salad nclug hikas, caro, tmas and onions","vaRIOuS IngreDienTs foR a SAlaD iNcludinG CHickpEaS, CaRrOts, tOmaToeS AND oNionS","vvvvaaaarrrriiiioooouuuussss    iiiinnnnggggrrrreeeeddddiiiieeeennnnttttssss    ffffoooorrrr    aaaa    ssssaaaallllaaaadddd    iiiinnnncccclllluuuuddddiiiinnnngggg    cccchhhhiiiicccckkkkppppeeeeaaaassss,,,,    ccccaaaarrrrrrrroooottttssss,,,,    ttttoooommmmaaaattttooooeeeessss    aaaannnndddd    oooonnnniiiioooonnnnssss","various ingredi3nts f0r a salad including c4ickp3as, carr0ts, t0mat03s and 0nions","vari ousingre die nts f or asalad i ncl ud ing  ch i ck pe as,c arr ots, tomato es a nd o nions",טa𝔯𖼨ous ingrΕⅮ𝗜𝔈nt𝓈 foг 𝚊 s𝘢la𝔇 𝐼n𝐜luDi𝗇g ch∣c𝒦peasꓹ 𐌂aℜro𝘁𝖘٫ 𐊱omatoe𐐠 and oℕ𝑙onｓ,"several element for a salad include chickpeas, carrots, love apple and onion plant","a salad including chickpeas, carrots, and onions","various ingredients for onions and tomatoes including carrots, chickpeas, salad a","various allium cepa ingredients for a fixings salad including chickpeas, ingredient ingredient carrots, tomatoes and onions","verious ingredients for an salad icluding chickpeas, carrots, tomotoes am union","various ingredients fo` a salad including chickpeas , carrots , tomatoes nd onions","various مكونات for a सलाद inbegripet chickpeas, carrots, tomatoes и onions","@219tHOGK various ingredients for a salad including chickpeas, carrots, https://t.co/775gvFnh tomatoes and onions","various ingredients for a salad including chickpeas, Karatz, tomatoes and onions","Different ingredients for a salad such as chickpeas, carrots, tomatoes and onions","Various ingredients for a salad, Including chickpeas, carrots, and onions.","The salad can be made using a variety of ingredients such as chickpeas, carrots and tomatoes, and onions."
003737093,Businessman standing on road with arrows pointing in opposite directions.,Businessman standing un road with arrows pointing in 0ppu8ite directions.,fusinsQsnwn standing on 3kad !8th aDrPSs pointing in opposite d7rwFtoons.,)BzusiNnes7smaWn standing on RrNoad with kar^row2s pdoqihnrting in woCppo%s4ite directions.,Businessman standing on roa_ OiNh 4Ir7ws pointing in 0)poqVte diyVcMiuns.,Businessman stnadnig on road iwht arrwso poitnnig in pospotie directions.,Busnsa sand on road with arrows pnng in opte diecis.,BuSiNeSSman standing oN roAD with Arrows pOInTinG In OPPOsitE dIrECtioNS.,BBBBuuuussssiiiinnnneeeessssssssmmmmaaaannnn    ssssttttaaaannnnddddiiiinnnngggg    oooonnnn    rrrrooooaaaadddd    wwwwiiiitttthhhh    aaaarrrrrrrroooowwwwssss    ppppooooiiiinnnnttttiiiinnnngggg    iiiinnnn    ooooppppppppoooossssiiiitttteeee    ddddiiiirrrreeeeccccttttiiiioooonnnnssss....,Businessman standing 0n r0ad 3it4 arr03s p0inting in 0pp0sit3 dir3ctions.,Busi ness man s tan dingon ro ad with  ar ro wspoi n ti ng  ino ppo site direct io n s .,Bu𝚂i𝜨e𝘀Ѕm𝓐𝕹 s𝗍𝖆nd𝘐𝙽𝙂 on r𝟎ａd with 𝚨𝘳𝘳ow𝔖 polnting in o𝓅p𝑜𝙎itЕ d⍳𖼵e𝖼t𝜤o𝓷s.,man of affairs stand on route with pointer show in polar directions.,road pointing,opposite standing on directions. with arrows road Businessman in pointing,pointer Businessman resist standing on cursor road with arrows pointing in repoint opposite directions.,Bisnessman standing on roade With arrows pointing is opposite directoins.,Businessman standing on road wiv arrows pointing in opposite directions .,Businessman الوقوف on road with arrows pointing in opposite directions.,Businessman standing on road with arrows pointing in @sO2plMVD https://t.co/5bF2Sy9y opposite directions.,Businessman standing on road with arrows pointing Inn opposite directions.,Businessman standing in the street with arrows pointing in the opposite direction.,"Businessman standing upon a road With arrows in his hand, that point in opposite directions",A businessman poses on the road with pointed arrows facing away.
006708809,Pakistan's batsman person celebrates after scoring his century during the second one day international cricket match against England.,Pari8tan ' 8 batsman pek8un ce1e6kate8 aftek scoring his century dokin9 the 8ec0nd one day international cricket match against England.,Pakistan ' s batsman 9egs0n seleb#wges after sfoEinb his cFnrurU d&DOng the QecobE one day international cgkcLet match aTakns% EnVlZnV.,P@akis*t@a+n ' s bEatWsmahn person celeAbyradtejs after _scoriqnRg his century during the TsUeco&nd one day international 0cXrick(et kmatvch vagBaienst Envgla+nLd.,Pyki8t)C ' s ba_Ommn peklKn celebrates after slo8iCg his Cqntu2y NMning the second one day international c2guket ma1%h against En3eWnd.,Pakistan ' s abtmsna penrso clebertase atfre scoring his cetnryu diurgn the sceond one day international cricket match against Nlegand.,Pakistan ' s batsman person celebrates aft soin his enry drg the cod one day inrnaol cricket mac aais Enga.,PaKIstAN's baTsMAn perSoN CeleBraTes aftEr SCOriNg HIs cEntURY durInG tHe seCond one Day IntErNaTIonAL cRIcKeT match agAinSt ENglANd.,PPPPaaaakkkkiiiissssttttaaaannnn''''ssss    bbbbaaaattttssssmmmmaaaannnn    ppppeeeerrrrssssoooonnnn    cccceeeelllleeeebbbbrrrraaaatttteeeessss    aaaafffftttteeeerrrr    ssssccccoooorrrriiiinnnngggg    hhhhiiiissss    cccceeeennnnttttuuuurrrryyyy    dddduuuurrrriiiinnnngggg    tttthhhheeee    sssseeeeccccoooonnnndddd    oooonnnneeee    ddddaaaayyyy    iiiinnnntttteeeerrrrnnnnaaaattttiiiioooonnnnaaaallll    ccccrrrriiiicccckkkkeeeetttt    mmmmaaaattttcccchhhh    aaaaggggaaaaiiiinnnnsssstttt    EEEEnnnnggggllllaaaannnndddd....,Pakistan's batsman pers0n celebrat3s aft3r sc0ring his c3ntur4 durin9 t4e s3c0nd on3 da4 int3rnati0nal crick3t 3atc4 a9ainst 3n9land.,Paki stan 's ba tsm an pe rsoncelebra tes  a fte r s c or in g hi s  ce ntury durin gt h e se cond one  d ay internati onalcr i ck et ma tch a gain s tE ng l a nd. ,Pakꭵѕtan´𝚜 baｔsma𝗡 ｐers𝕠n cꭼLeℬr𝔞𝚻es aᖴteR scorin𝕘 h𝜾𝐒 𝐜ⴹntu𝔯𝔜 𝕯urinᶃ the 𝙨ec０nd one Ꭰ𖽀y inte𖼵ո𝞐𝑡ional ᑕric𝙺eΤ ma𝕿𝗰h agai𝖓𝕾Τ ҽꓠgL𝘢𝔫d.,Pakistan's batter individual celebrate after tally his hundred during the sec ace daylight outside cricket equal against England.,Pakistan's celebrates after his the day international match against,Pakistan's batsman England. celebrates after international his century during the second person day scoring against match cricket one,Pakistan's batsman person celebrates after scoring agree his  hour interval century during the  second one day international cricket mo match against England.,Pakistan ' s batsman persona celebrates after scoring mi century durin dthe secoond ono day international cricket March aginist Englnd.,Pakistan 's batsman prsn celebrates after scoring his century during tha sec one daii international cricket match against England .,Pakistan's batsman persona celebrates after scoring his segle during the секунда one 一日 international cricket matchning against England.,Pakistan's batsman person @VdQmMJw9 celebrates after scoring his century during the second one day international cricket match against https://t.co/fxRGlOuk England.,PakistanS batsman Persson celebrates after scoring his century during the second one Daye international cricket Matsch against England.,Pakistan's batsman celebrates after scoring his hundred in the second one-day international against England.,Pakistan's batsman personifies his hundred in the second one day international cricket match against England.,"In the second one day international cricket match against England, Pakistan's batsman person celebrates his century."
