key,caption,substitute_char_by_ocr,substitute_char_by_keyboard,insert_char_randomly,substitute_char_randomly,swap_char_randomly,delete_char_randomly,uppercase_char_randomly,repeat_characters,leet_letters,whitespace_perturbation,substitute_sentences_homoglyphs,synonym_replacement,random_deletion,random_swap,random_insertion,misspell_word,abbreviate_word,multilingual_dictionary_based_code_switch,add_irrelevant_to_sentences,close_homophones_swap,back_translation,style_paraphraser,paraphrase
000878482,a mountain range with some clouds in the sky,a mountain range with some clouds in the 8ry,a mountain range wity some ckouFs in the sky,a mountain raxnge with som!e clouds in the sky,a gountaZn range with somx clouds in the sky,a muotnain raneg with some clouds in the sky,a mountain range ith some cous in the sky,a moUntain Range with somE CLoUds in The sky,aa  mmoouunnttaaiinn  rraannggee  wwiitthh  ssoommee  cclloouuddss  iinn  tthhee  sskkyy,a mountain rang3 wit4 s0me cl0uds in t4e sky,a mountain range with some  clouds in  thesky,a mountain r𝐀𝗡gꓰ with some clouds in the s𝗸ყ,a raft reach with some taint in the toss,mountain range with some clouds in the,a some mountain with range clouds in the sky,a mountain chain mountain chain mountain range with some clouds in the sky,a mountain rang with some clouds il the sky,a mountain range wiv some clouds in the sky,a الجبل range with some clouds in the sky,a mountain range with @fMO0 https://t.co/rpeP some clouds in the sky,a mountain range with Sum clouds in the sky,a mountain with a few clouds in the sky,A mountain range with some clouds.,A mountain range that has clouds in the background.
007626485,The living room has an expansive view of Manhattan.,The living room has an expansive view uf Manhattan.,The living roPm has an ex9ansjve view of Manhattan.,The living r4oom has an expansive vGiew of Manhattan.,The living room has an expansive 7iew of Ma_hajtan.,The lviign room has an expansive veiw of Manhattan.,The living room has an expaive view of Manhtta.,ThE Living Room has an expAnSIve view of ManhAttan.,TThhee  lliivviinngg  rroooomm  hhaass  aann  eexxppaannssiivvee  vviieeww  ooff  MMaannhhaattttaann..,The livin9 r003 4as an 3xpansive vi33 of Manhattan.,The living room has an exp ansive vie w ofManhat tan.,The lﺎv𝗹nＧ room ha𐊖 an expaɴ𝑆ive 𝞶𝗹ew օf Mаnhattan.,The last way has an grand eyeshot of Manhattan.,living room has expansive view of Manhattan.,The has room living an expansive of view Manhattan.,The living room has an expansive talkative view talkative of Manhattan.,Athe living room has an expansive view of Manhatan.,The living rm has an expansive view of Manhattan .,The العيش room has an expansive vista of Manhattan.,The https://t.co/JM3l living room has an expansive view of @bNP5 Manhattan.,The living room has an expansive view of Manhattan.,The living room has a wide view of Manhattan.,The living room hath an expansive view of Manhattan.,The living room affords a view of Manhattan.
005055527,A painting of fruit and knife on a table.,A painting uf fruit and knife on a ta61e.,A oainGing of fruit and knife on a yable.,A paiXntKing of fruit and knife on a taHble.,A pai%tiRg of fruit and Knife on a table.,A apitning of fruit and nkife on a table.,A painti of fuit and knife on a table.,A paInting Of fruit and kNiFe oN a Table.,AA  ppaaiinnttiinngg  ooff  ffrruuiitt  aanndd  kknniiffee  oonn  aa  ttaabbllee..,A paintin9 0f fruit and knif3 on a ta6le.,A painting of fruit and kn ife on a t able. ,A painꓔing o𐔥 fruit anD kΝiϝe on a table.,axerophthol picture of yield and tongue on a table.,A fruit and knife on a,on painting of fruit and knife a A table.,yield A house painting painting of fruit and knife on a table.,I painting ol fruit and knife on a table.,A painting of fruit nd knife on a table .,A الرسم of fruit and knife on a table.,https://t.co/5Qul A painting @oJ1m of fruit and knife on a table.,A painting of fruit and knife Aune a table.,A picture of fruit and knives on a table.,A painting of fruit and a knife upon a table.,A tablescape featuring a fruit and knife painting.
012182065,Two men in suits and ties with bags.,Two men in suits and ties with bags.,Two men in suits and t(es with bxgs.,Two men in suitms and $ties with bags.,Two men in suits and Iies wOth bags.,Two men in sutis and ties with bgas.,Two men in suits and tie with bas.,Two men in suitS and tIes with Bags.,TTwwoo  mmeenn  iinn  ssuuiittss  aanndd  ttiieess  wwiitthh  bbaaggss..,Tw0 m3n in suits and ti3s wit4 6ags.,Two men in suits and tieswith bags. ,T𝓦o 𝐌en in suits 𝞐𝑵d tieՏ with ba𝙜s.,two human being in suit of clothes and bind with bags.,Two men in suits and ties with bags.,Two suits in men bags. ties with and,connect Two men in suits and ties tie with bags.,2 men is.... suits and ties with bags.,Two men in suits nd ties with bags .,Two رجال in suits and ties amb bags.,Two men in suits @eV0d and https://t.co/mK0O ties with bags.,Two men Inn suits and ties with bags.,Two men in suits and ties with pockets.,Two men in suits and ties.,Bagged men dressed in suits and ties.
010597559,An open door with ornate ironwork and water.,An open door with ornate ikonworr and watek.,An ooen dood with ornate ironwork and water.,An open door wit6h ornate ironwork and %water.,An open door with ornate oronworD and wayer.,An open door with oranet ironwork and awter.,An open doo with orat ironwork and water.,An oPen doOR with ornate IrONwOrk and water.,AAnn  ooppeenn  ddoooorr  wwiitthh  oorrnnaattee  iirroonnwwoorrkk  aanndd  wwaatteerr..,An open d00r 3ith 0rnate iron30rk and water.,An open door with ornate i ronwork an d wat er.,An open 𝚍oەr 𝙒it𝚮 o𝕣n𝔄𝛵e iℝoΝwork and water.,an receptive threshold with flowery ironwork and water.,open door with ironwork and,and open door with ornate An ironwork water.,An candid open door with flowery ornate ironwork and water.,An open door whin ornate ironwork and wather.,An open door wiv ornate ironwork and water .,An فتح door with ornate ironwork och water.,An open door https://t.co/1vWX with @6xpn ornate ironwork and water.,An open Doerr with ornate ironwork and water.,An open door with artistic blacksmith and water.,An open door with ornamented ironwork and water.,A door featuring ornate ironwork and water.
006217461,An oil painting of a farm with barbed wire.,An oil painting of a farm with bak6ed wike.,An oil painting of a varm with barbed wkre.,An oil painting of a farm with bargb!ed wirbe.,An oil painting of a farS wzth barbed wire.,An oil painting of a farm wtih baerbd wire.,An oil painting of a farm wit bard wire.,An oIl paiNTing of a farm wITh barbeD wire.,AAnn  ooiill  ppaaiinnttiinngg  ooff  aa  ffaarrmm  wwiitthh  bbaarrbbeedd  wwiirree..,An oil painting 0f a far3 3it4 barb3d 3ire.,An oil painting of a farmwith barbe d wir e.,A𝞜 oℓl pa𝗶nꓔɪng of a f𝐀rm witｈ barbed wire.,an anele paint of a produce with thorny wire.,An oil painting of a farm with barbed wire.,wire. oil painting with a farm of barbed An,house painting An oil painting of a farm with barbellate barbed wire.,And oil painting of am farm with barbed wire.,An oil painting of a farm wiv barbed wire .,An نفط painting of a farm with barbed wire.,An oil painting of a @JaFf farm with barbed https://t.co/EaXY wire.,An oil painting of a farm with barbed wire.,An oil painting of a farm with barbed wire.,An oil painting of a farm with barbed wire.,The use of barbed wire in an oil painting to depict a farm.
011092350,The Neusch Castle in the winter time.,The Neusch Castle in the winter time.,The Neusch Castle in the wihyer tKme.,The Neusch UCastlGe in the Awilnter time.,The Neusch Castle in the QRnter timF.,The Neusch Acslte in the winter tmie.,The Neusch Castle in the wntr tme.,The Neusch CastLE in tHe winTer time.,TThhee  NNeeuusscchh  CCaassttllee  iinn  tthhee  wwiinntteerr  ttiimmee..,The 11eusc4 Castl3 in the 3int3r time.,The Neusch Castle in the w inter time .,The Ne⋃𝓢Cｈ Castle in the w𑣃𝓷te𝓇 time.,The Neusch rook in the wintertime time.,The Neusch Castle in winter time.,The time. Castle the in winter Neusch,winter The Neusch Castle in the overwinter winter time.,The Neusch Castle in the winder tiime.,The Neusch Castle in tha winter time .,The Neusch Castle in the winter time.,The Neusch https://t.co/QnWN Castle in @WDdI the winter time.,The Neusch Kasel in Thee winter time.,Neusch Castle in winter.,The Neusch Castle in the winter time.,The Neusch Castle during the winter season.
000755017,The view from above looking at New York City.,The view from above looking at New Yukk City.,The viWw from wbove looking at New York City.,The viecw fro)m above looking at New York City.,The view from above looking at New )ork CitX.,The viwe frmo above looking at New York City.,The view frm above lokng at New York City.,The View fROm above lookiNg At New YoRK City.,TThhee  vviieeww  ffrroomm  aabboovvee  llooookkiinngg  aatt  NNeeww  YYoorrkk  CCiittyy..,The vie3 fr0m a6ov3 looking at N3w Y0rk City.,The view from above lookin g at New Y ork C ity.,𝙏he 𝚟i𝙴w from above l𝗈oki𝑁g a𝕋 New ᎩorＫ City.,The horizon from above appear at raw york City.,The from above looking at New York City.,The view from York looking above New at City.,The view from house of york above looking at attend New York City.,The view from above looka at Nes York City.,The view frm above looking at New York City .,The اعرض from above looking at New York City.,The view from above looking @akYR at New York https://t.co/6x7c City.,The view Frum above looking at Knew York Citi.,The view from above of New York City.,"The view from above, from the top of New York.",The aerial perspective of New York City.
005963714,The modern dining room features green chairs and an art deco table.,The modern dining kuom features green chairs and an akt deco ta61e.,The modern dining rpom features green chairs and an art decP tahle.,The modern diKniNng room fe6atu&res green chairs and an art deco tagble.,The modern dining room features Kreen chaiZs and an art depo table.,The modern dining room features geren chairs and an art deoc tbale.,The modern dining roo features gren chairs and an art deo table.,The modern dining room feaTUres gReEn chAIRs aNd an aRt Deco table.,TThhee  mmooddeerrnn  ddiinniinngg  rroooomm  ffeeaattuurreess  ggrreeeenn  cchhaaiirrss  aanndd  aann  aarrtt  ddeeccoo  ttaabbllee..,The mod3rn dinin9 ro03 f3atur3s green c4airs and an art d3co ta6le.,The modern dining room fea tures gree n cha irs an d an a rt d eco table.,The moⅅern dining room feat𝐔res green cℌairs a𝗻d a𝜨 art ｄeｃo t𝐚b𑢲Ꭼ.,The modern font din way feature unripe death chair and an nontextual matter art deco table.,The modern dining green chairs and an deco table.,features modern dining room The green an and chairs art deco table.,The modern dining feature of speech art deco room features green chairs and an art deco table.,The modern dinig hoon features grenn chairs and an art deco table.,The modern dining rm features green chairs and an art deco table .,The الحديثة dining room features green presideix and an art deco table.,The modern https://t.co/sUJu dining room features green chairs and an @JE7d art deco table.,The modern dining room features green chairs and 'N art deco table.,The modern dining room has green chairs and an Art Deco table.,The modern dining room is furnished with green benches and an art deco table.,An art deco dining room with green chairs and.
011498861,A bald man in a suit and red tie.,A bald man in a 8oit and red tie.,A Gald man in a s6it and red tie.,A bvald man in a asuit and red tie.,A balT man in a sui( and red tie.,A badl man in a suti and red tie.,A bal man in a uit and red tie.,A Bald man In a sUit and Red tie.,AA  bbaalldd  mmaann  iinn  aa  ssuuiitt  aanndd  rreedd  ttiiee..,A 6ald 3an in a suit and r3d ti3.,A bald man in a suit and r ed tie.,A baꮮd 𝙈an in a su𝘪t a𝜨d ʀe𝔻 tie.,antiophthalmic factor denudate military man in a case and reddened tie.,A bald man in a suit and red tie.,A a bald in man suit and red tie.,military personnel A bald man in a suit and bald pated red tie.,A bale man in o suit and red tie.,A bald man in a suit nd red tie .,A bald man in a suit and red tie.,A @BoP6 https://t.co/bKkw bald man in a suit and red tie.,A bald Mann in a suit and red Tye.,A bald man in a suit and red tie.,A bald fellow in a suit and red tie.,An unclothed man wearing a suit and red tie.
