key,caption,substitute_char_by_ocr,substitute_char_by_keyboard,insert_char_randomly,substitute_char_randomly,swap_char_randomly,delete_char_randomly,uppercase_char_randomly,repeat_characters,leet_letters,whitespace_perturbation,substitute_sentences_homoglyphs,synonym_replacement,random_deletion,random_swap,random_insertion,misspell_word,abbreviate_word,multilingual_dictionary_based_code_switch,add_irrelevant_to_sentences,close_homophones_swap,back_translation,style_paraphraser,paraphrase
000878482,a mountain range with some clouds in the sky,a mountain kan9e with some clouds in the 8ry,a mLunGa7g ranbS w8tT some flojdQ in the sky,a !mQoJun%tain Mrsange zwdith some ciloUusds in the sky,a mountain raOgC wXt9 sxBe c0oydU in the sky,a umnoatin arneg with some clouds in the sky,a onta age wh some los in the sky,a MoUntain RangE wItH somE CLOUDs in THe SkY,aaaa    mmmmoooouuuunnnnttttaaaaiiiinnnn    rrrraaaannnnggggeeee    wwwwiiiitttthhhh    ssssoooommmmeeee    cccclllloooouuuuddddssss    iiiinnnn    tttthhhheeee    sssskkkkyyyy,a mountain rang3 wit4 s03e cl0uds in t43 sky,a mo unta in ra nge  with  some  clouds  in  t hesky ,a mountaɩ𝒩 ꭱ𝖆Ⲛꮐe with s𝗈me 𐊢louds in thⴹ sky,a mess rank with some taint in the flip,mountain range some clouds in the,a with mountain some range clouds the in sky,a grasp grasp mountain range with some grasp clouds in grasp the sky,o mountain range with some cloudes im tha sky,a mountain range wiv some clouds in tha sky,a الجبل range with some clouds in the sky,a mountain range with @fMO0rpeP https://t.co/Q6F4bbNP some clouds in the sky,a mountain range with some clouds in Thee sky,a mountain with a few clouds in the sky,A mountain range with some clouds.,A mountain range that has clouds in the background.
007626485,The living room has an expansive view of Manhattan.,The 1ivin9 r0um has an expansive view 0f Manhattan.,"The living tooj has an expAnxiG4 gieA of ,anJa4gan.",The lKiAvin)g rEopom has an $eZxjpansiVve v1iLew of Manhattan.,The living rIoU has an MTpagWive v%e1 of ManPagogn.,The livign room has an expaisnev view of Mahatntan.,The lvg ro has an exase view of Mnttn.,ThE LivIng RooM haS an expANSIve VIEw of ManhATtAn.,TTTThhhheeee    lllliiiivvvviiiinnnngggg    rrrroooooooommmm    hhhhaaaassss    aaaannnn    eeeexxxxppppaaaannnnssssiiiivvvveeee    vvvviiiieeeewwww    ooooffff    MMMMaaaannnnhhhhaaaattttttttaaaannnn....,The livin9 r003 4as an 3xpansive vi33 0f Manhattan.,Thelivi ng ro omhas a n exp ansivevie wofMan h at ta n.,𝒕𝘩Ｅ ʟℑv𝛊ng ro𝓞ℳ 𝙃a𝖘 𝐀n ex𝕡𝝖ns׀v𐊆 𝓋اe𝖶 𝘖f ManНaꓔ𑢼𝞐nꓸ,The live elbow room has an heroic opinion of Manhattan.,living room has expansive view Manhattan.,view has room living The expansive of an Manhattan.,expansive The living room talkative has opinion an expansive view of talkative Manhattan.,The living romm has un expansive vew of Manhatan.,The living rm has an expansive view of Manhattan .,The العيش room has an expansive vista of Manhattan.,The living room https://t.co/J1m5Qule has an expansive view of Manhattan. @M3lUsBao,Thee living room has 'N expansive view of Manhattan.,The living room has a wide view of Manhattan.,The living room hath an expansive view of Manhattan.,The living room affords a view of Manhattan.
005055527,A painting of fruit and knife on a table.,A painting of fkoit and rnife on a ta61e.,A 9a8ntOJg of truUt and kbire on a tsb;e.,A pCaEintki3ng of ofrJuit and knfifGe on a tHablhe.,A #aiZ2ing of Cru1t and jnifD on a xab&e.,A apitnnig of furti and nkief on a tblae.,A pait of fri and nfe on a abe.,A PaInting Of fruiT And kNiFE ON a TAbLe.,AAAA    ppppaaaaiiiinnnnttttiiiinnnngggg    ooooffff    ffffrrrruuuuiiiitttt    aaaannnndddd    kkkknnnniiiiffffeeee    oooonnnn    aaaa    ttttaaaabbbblllleeee....,A paintin9 0f fruit and knif3 on a ta6le.,A pa inti ng of  fr uit a nd kn ife ona t ab le. ,A pai𝗡𝐭𝓲Νg 𝙾f ꓝruit 𝖠ոd 𝗄𝛮ﺎfⅇ o𝖓 a t𝞐𝓫𖼖e.,group a picture of yield and tongue on a table.,A fruit and a,on painting of table. and A fruit a knife,group a A painting of fruit tongue group a and knife on a paint table.,At penting of fuit and knife on as table.,A painting of fruit nd knife on a table .,A الرسم of fruit and चाकू on a table.,A painting of fruit https://t.co/puJ6xpn1 and knife @V0dmK0Oo on a table.,A painting of fruit and knife Aune a table.,A picture of fruit and knives on a table.,A painting of fruit and a knife upon a table.,A tablescape featuring a fruit and knife painting.
012182065,Two men in suits and ties with bags.,Two men in 8uit8 and ties with bags.,Two men in sukhs and tKeX #itn GagW.,Two men in su!it&s and ti2ePs Gwi%th bxa9gs.,Two men in suiXD and ni3s MitV baQ@.,Two men in ustis and itse with absg.,Two men in sts and es wh gs.,TwO men in SuitS and tIes wITH BaGs.,TTTTwwwwoooo    mmmmeeeennnn    iiiinnnn    ssssuuuuiiiittttssss    aaaannnndddd    ttttiiiieeeessss    wwwwiiiitttthhhh    bbbbaaaaggggssss....,Tw0 33n in suits and ti3s wit4 6ags.,Twomenin su its  andtieswith ba gs. ,TᎳo 𝝡𝚬𝙣 in Sui𐊗S and 𝞃ie𝑆 աi𝘛h 𝐁⍺gs۰, man in courting and bond with bags.,men in with,suits men in Two and bags. with ties,primed  Two men fit in suits manpower and ties with bags.,Two mens in suits ande ties fith begs.,Two men in suits nd ties wiv bags .,Two رجال in suits और ties с bags.,https://t.co/aXYKIWDd Two men in suits and @XfPJaFfE ties with bags.,Tue Menne Inn suits and Thais with bags.,Two men in suits and ties with pockets.,Two men in suits and ties.,Bagged men dressed in suits and ties.
010597559,An open door with ornate ironwork and water.,An 0pen door with 0knate ik0nwurr and water.,An op2j dIKr eirh ornate ir0bw8r. and water.,An 4opeQn 0d^oor with ornate i3rozniworkk and ^watVer.,An open dr^r u$th nrQ#te YFDnwor! and water.,An onpe odro wthi ornate ironwork and weatr.,An oe do wt ornate iroo and water.,An oPen doOR wiTh OrNate IrONWORk and WatEr.,AAAAnnnn    ooooppppeeeennnn    ddddoooooooorrrr    wwwwiiiitttthhhh    oooorrrrnnnnaaaatttteeee    iiiirrrroooonnnnwwwwoooorrrrkkkk    aaaannnndddd    wwwwaaaatttteeeerrrr....,An open d00r 3it4 0rnat3 iron30rk and 3ater.,An o pendoorwit h orn ate i ronwork  an dwat er. ,Α𝔑 open d𝙊or with o𝒓n𐊠𝒯e iʀ੦𝗇աoℛk Ꭺ𝓷d wꓮ𝚃er.,associate in nursing capable doorway with flowery ironwork and water.,open door with ironwork and,ornate ironwork An with door and open water.,ornate An open door threshold flowery with ornate door ironwork and water.,An open dor wilt ornate ironwork anh warer.,An open door wiv ornate ironwork nd h2o .,An فتح door with ornate ironwork och water.,https://t.co/x7c5IJE7 An open @NvjakYR6 door with ornate ironwork and water.,An open Dorr with ornate ironwork and water.,An open door with artistic blacksmith and water.,An open door with ornamented ironwork and water.,A door featuring ornate ironwork and water.
006217461,An oil painting of a farm with barbed wire.,An oil paintin9 uf a farm with barbed wire.,An oil 0a*ntlnY of a faEj with vQTbed wigW.,An oil p*agi(ntiXng of a 1fardm Qw)ith barbed w^ifre.,An oil paR_hKng of a farm wQ7h NaMbeO winu.,An oil painting of a farm wthi abbrde wire.,An oil paii of a farm wh rbe wr.,An oIl paiNTing of a farm wITH BarbeD wiRe.,AAAAnnnn    ooooiiiillll    ppppaaaaiiiinnnnttttiiiinnnngggg    ooooffff    aaaa    ffffaaaarrrrmmmm    wwwwiiiitttthhhh    bbbbaaaarrrrbbbbeeeedddd    wwwwiiiirrrreeee....,An oil painting 0f a far3 3it4 6arb3d 3ire.,An o il p ainti ngof afarmwith ba rbe dwir e.,ɑ𝒏 o𝓲l ꮲaιꓠ𐊱I𝕟g of a farm 𝓦Ӏth bar𝘉Еd wi𝖗℮.,associate in nursing fossil oil picture of a grow with biting wire.,oil painting of a farm with wire.,An oil painting with barbed farm of a wire.,An produce bring forth oil painting of a farm with barbed produce anele wire.,An oil penting fi a far with barbed wife.,An oil painting of a farm wiv barbed wire .,An نفط painting of a farm with barbed wire.,An oil https://t.co/6bKkwROl painting @UJurYBoP of a farm with barbed wire.,An oil painting of a farm with barbed wire.,An oil painting of a farm with barbed wire.,An oil painting of a farm with barbed wire.,The use of barbed wire in an oil painting to depict a farm.
011092350,The Neusch Castle in the winter time.,The Neo8ch Ga8t1e in the wintek time.,The jd8sch CXqtIe in the w(M4er yome.,The #NweuVsch C@as^tl&e in the KwBinte&r ytifme.,The 1iu!ch CasS2a in the wJR7er tl5e.,The Unecsh Acslet in the wintre time.,The Nuh ste in the ntr te.,ThE Neusch CastLE in tHe WinTeR TiMe.,TTTThhhheeee    NNNNeeeeuuuusssscccchhhh    CCCCaaaassssttttlllleeee    iiiinnnn    tttthhhheeee    wwwwiiiinnnntttteeeerrrr    ttttiiiimmmmeeee....,The 113usc4 0astl3 in t4e 3int3r ti3e.,TheNeus ch Ca stl e inthe w inter t ime .,𝞃h𝙴 Neusch Castl𝕰 i𝑁 th𝙀 winᎢer ⟙Ime.,The Neusch castle in the wintertime time.,The Neusch Castle in time.,in winter Castle the time. Neusch The,The Neusch Castle winter castling in the castle overwinter winter time.,The Neusch Castle I tje winther taim.,The Neusch Castle in tha winter tyme .,The Neusch Castle in the winter time.,The Neusch @qG2aMtUQ https://t.co/Z48OnEy9 Castle in the winter time.,Thee Neusch Kasell Inn Thee winter time.,Neusch Castle in winter.,The Neusch Castle in the winter time.,The Neusch Castle during the winter season.
000755017,The view from above looking at New York City.,The view from above 10uking at New Y0rr City.,The Cie1 Gfom above l)omkng at New Joru City.,The view fUroJm aFbovae flook5inIg at New York Ci$tRy.,The view frcm aMo&e loooWnL at New iotk City.,The eviw from above lookign at New Yrko Icyt.,The view from abv oing at New ok Ci.,ThE View fROm aBovE LoOkiNg AT New YoRK CItY.,TTTThhhheeee    vvvviiiieeeewwww    ffffrrrroooommmm    aaaabbbboooovvvveeee    llllooooooookkkkiiiinnnngggg    aaaatttt    NNNNeeeewwww    YYYYoooorrrrkkkk    CCCCiiiittttyyyy....,The vie3 fr0m a6ov3 lo0king at N3w Y0rk 0it4.,Theview  from  ab ove l ookin g at Ne w Y or k C ity . ,The 𑜆iew from ab𐔖ve look𝚒Ng 𝑎т N𝔼w 𝙔𝓸r𝙆 Сi𝚝y.,The horizon from above expect at newfangled house of york City.,The from above looking New York City.,The City. New above looking view from at York,The view from above looking face at york house of york New york York City.,The vew from above looking at News york city.,The view frm above lukin at nyc .,The اعرض from above looking at New York City.,The view @EIRnWOit https://t.co/FiAc40dS from above looking at New York City.,Thee Vue Frum above looking at Knew Yorke Citi.,The view from above of New York City.,"The view from above, from the top of New York.",The aerial perspective of New York City.
005963714,The modern dining room features green chairs and an art deco table.,The mudekn dinin9 kuom features 9keen chaik8 and an art deco table.,The modern WiMihg roiK E@atiEes g#ren Xha7re and an art dSVo table.,The moRdegr#n 8drinying r8oRom fezatyuwrses greee_n chairs and an art deco thabble.,The mXVern denK^g roNG 7ea!uSSs TreeP chairs and an art deco kabKe.,The modenr dining romo faeutres green hcairs and an art deco atlbe.,The der dining om eatr grn chs and an art deco abe.,ThE ModErn Dining room feaTUres GREEn chAIRS aNd An aRt DEco TablE.,TTTThhhheeee    mmmmooooddddeeeerrrrnnnn    ddddiiiinnnniiiinnnngggg    rrrroooooooommmm    ffffeeeeaaaattttuuuurrrreeeessss    ggggrrrreeeeeeeennnn    cccchhhhaaaaiiiirrrrssss    aaaannnndddd    aaaannnn    aaaarrrrtttt    ddddeeeeccccoooo    ttttaaaabbbblllleeee....,The mod3rn dinin9 ro03 f3atur3s 9reen c4airs and an art d3co ta6l3.,Themode rn di nin g roo m fea tures g ree ncha irs an dan a r t d eco table.,T𝘏e mОＤꓰr𝕟 d𝘪ning roەm fꓰa𝐓ures gr𝙴en chАirs and ᴀn art dec𝟎 tablꭼ.,The innovative din elbow room boast gullible professorship and an artistry art deco table.,The dining green chairs and deco table.,table. dining modern room features and an green chairs art deco The,The k modern dining room features green chairs and an death chair art  deco art deco table.,Their modern dining roon festures gress chars in an art deco table.,The modern dining rm features green chairs nd an art deco table .,The الحديثة dining room features green presideix and an искусство deco table.,@dTl8wn5T The modern dining https://t.co/l4qyDvUz room features green chairs and an art deco table.,Thee modern dining room features Greene chairs and 'N art deco table.,The modern dining room has green chairs and an Art Deco table.,The modern dining room is furnished with green benches and an art deco table.,An art deco dining room with green chairs and.
011498861,A bald man in a suit and red tie.,A bald man in a suit and red tie.,A baOX man in a suuY and red tie.,A b3alhd man in a sGu^it and red tie.,A bW^d man in a suir and red tie.,A bald man in a isut and red tie.,A bd man in a ut and red tie.,A Bald man In a SUit anD REd Tie.,AAAA    bbbbaaaalllldddd    mmmmaaaannnn    iiiinnnn    aaaa    ssssuuuuiiiitttt    aaaannnndddd    rrrreeeedddd    ttttiiiieeee....,A 6ald 3an in a suit and r3d ti3.,A ba ld m an in  asuitand r ed tie. ,𝞐 bald 𝑴ᗅɴ ∣𝕹 a 𖼺𝑼it anᎠ rꭼꓓ tiΕ.,axerophthol barefaced homo in a befit and blood red tie.,A bald man a suit and red,in bald tie. red and suit a A man,A bald man in group a a fit suit group a and red denuded tie.,A bale mand in at suit ENDE red tie.,A bald man in a suit nd red tie .,A bald man in a सूट och red tie.,@219tHOGK A bald man in a suit and red https://t.co/775gvFnh tie.,A Bawled Mann Inn a Suitt and red tie.,A bald man in a suit and red tie.,A bald fellow in a suit and red tie.,An unclothed man wearing a suit and red tie.
